Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অন্ধ ভালোবাসা আঁধারে রয়ে গেলো,আওলাদ হোসাইন সজীব,TK. 150,TK. 113,https://rokomari.com//book/198388/ondho-valobasa-adhare-roye-gelo,"একজন মানুষ জীবনে বহুবার, বহুভাবে প্রেমে পড়তে পারে। কিন্তু তার মধ্যে প্রথম প্রেম আলাদা। প্রথম প্রেমের আবেগগুলাে এমনভাবে বিস্তৃত থাকে যার রেশ প্রতিটি সেকেন্ড মনে করিয়ে দেয়। প্রথম প্রেম একটি রােগ। যে রােগের ঔষধ স্বয়ং মৃত্যুও দিতে পারেনা। ধীরে ধীরে ক্যান্সারের মত বেড়ে যায় এর কার্যকারিতা। কেউ মরে গিয়ে প্রথম প্রেমের ঝাজ বাচিয়ে রাখে, কেউ বেঁচে থেকেও মরে থাকে প্রথম প্রেমকে প্রাণ করে। প্রথম প্রেমই হচ্ছে, একজন প্রেমীর জীবনের আয়ু। আর এই আয়ুর গতিধারা হচ্ছে এই বইয়ের প্রধান উপজীব্য। সব মিলিয়ে উপন্যাসিক আওলাদ হােসাইন সজীব অসাধারণ প্রেমের গল্পের শৈল্পিক সমন্বয় ঘটিয়েছেন বইটিতে যা পড়ে আমি সত্যিই অভিভূত।",অন্ধ ভালোবাসা আঁধারে রয়ে গেলো,আওলাদ হোসাইন সজীব, , ,অনন্য প্রকাশন,9789849449430,"1st Published,2020",64,বাংলাদেশ,বাংলা
আঁখিবাচন,সাহাত মাহমুদ সম্রাট,TK. 250,TK. 213,https://rokomari.com//book/207782/akhibachon,"",আঁখিবাচন,সাহাত মাহমুদ সম্রাট, , ,অনন্য প্রকাশন,9789849515425,"1st Published,2021",96,বাংলাদেশ,বাংলা
বকুল ঝরার দিনে,মাজদুদা হাসান,TK. 220,TK. 154,https://rokomari.com//book/208469/bokul-jhorar-dine,"",বকুল ঝরার দিনে,মাজদুদা হাসান, , ,অনন্য প্রকাশন,9789849521150,"1st Published,2021",112,বাংলাদেশ,বাংলা
নিশির তৃতীয় প্রহর,মোঃ আওছাফুর রহমান,TK. 250,TK. 175,https://rokomari.com//book/199445/nishir-tritiyo-prohor,"",নিশির তৃতীয় প্রহর, , ,মোঃ আওছাফুর রহমান,অনন্য প্রকাশন,9789849449348,"1st Published,2020",126,বাংলাদেশ,বাংলা
বিরহের নীল কান্না,মোঃ আওছাফুর রহমান,TK. 250,TK. 175,https://rokomari.com//book/199446/biroher-neel-kanna,"",বিরহের নীল কান্না, , ,মোঃ আওছাফুর রহমান,অনন্য প্রকাশন,9789849449485,"1st Published,2020",128,বাংলাদেশ,বাংলা
ডোম ভূত,কুমারেশ সরদার,TK. 150,TK. 105,https://rokomari.com//book/199449/dom-vut,"",ডোম ভূত,কুমারেশ সরদার, , ,অনন্য প্রকাশন,9789849474654,"1st Published,2020",47,বাংলাদেশ,বাংলা
তুর পাহাড়ের কবিতা,শান্তা ইসলাম সু’আদ,TK. 250,TK. 175,https://rokomari.com//book/199451/tur-paharer-kobita,"",তুর পাহাড়ের কবিতা,শান্তা ইসলাম সু’আদ, , ,অনন্য প্রকাশন,9789849474661,"1st Published,2020",112,বাংলাদেশ,বাংলা
কবি দর্পণ,জেলা কবি সংসদ ঠাকুরগাঁও,TK. 200,TK. 140,https://rokomari.com//book/199453/kobi-dorpon,"",কবি দর্পণ,জেলা কবি সংসদ ঠাকুরগাঁও, , ,অনন্য প্রকাশন,9789849474678,"1st Published,2020",112,বাংলাদেশ,বাংলা
ভুল টিকিটে যাত্রা,মো. জুলফিকার আলী জিল্লুর,TK. 200,TK. 140,https://rokomari.com//book/198326/vul-tickete-jhatra,"",ভুল টিকিটে যাত্রা,মো. জুলফিকার আলী জিল্লুর, , ,অনন্য প্রকাশন,9789849449461,"1st Published,2020",64,বাংলাদেশ,বাংলা
বলেশ্বরী,অলোক মিত্র,TK. 350,TK. 245,https://rokomari.com//book/198327/boleshwri,"",বলেশ্বরী, , ,অলোক মিত্র,অনন্য প্রকাশন,9789849449393,"1st Published,2020",144,বাংলাদেশ,বাংলা
