Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Manners and Habits for Kids ,সায়েদুল আরেফিন,TK. 70,TK. 53,https://rokomari.com//book/95069/manners-and-habits-for-kids,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/85b695922_95069.jpg,"",Manners and Habits for Kids,Sayedul Arefine, , ,Academic Press & Publishers Library,9789849144731,"1st Published,2015",56,Bangladesh,English
টিন এজ ছেলে-মেয়েদের সমস্যা ও তার সমাধান,সায়েদুল আরেফিন,TK. 70,TK. 53,https://rokomari.com//book/95068/teen-age-chele-meyeder-somosya-o-tar-somadhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/166ac7a50_95068.jpg,"""টিন এজ ছেলে-মেয়েদের সমস্যা ও তার সমাধান"" বইয়ের ভিতরের লেখা:

আমাদের শিশু শৈশব থেকে কৈশােরে পদার্পনের সময় তার শরীর ও মনে যে পরিবর্তন আসে সে সম্পর্কে আমাদের প্রাথমিক জ্ঞান না থাকলে টিনএজ ছেলে-মেয়েদের সমস্যা চিহ্নিত করা এবং তার সমাধান খুঁজে পাওয়া খুবই কষ্টসাধ্য। আর এ কারনেই টিন-এজ ছেলে-মেয়েদের শারীরীক ও মানসিক পরিবর্তনের পর্যায়গুলাে সম্পর্কে আমাদের মােটামােটি স্পষ্ট একটা ধারণা থাকা খুবই জরুরী। কারণ শৈশব থেকে কৈশােরের বিভিন্ন ধাপ ছেলে-মেয়েদের পরবর্তী জীবন গড়ার জন্য খুব জরুরী। শৈশব থেকে কৈশােরের কোন একটি স্তরে ছেলে-মেয়েদের প্রতি অযত্ন হলে তাদের যে ক্ষতি হয় বাকী জীবনে তা পুষিয়ে নেয়া খুব কঠিন কাজ হয়। সে কারণে জন্মের পর থেকে শুরু করে টিন-এজ পর্যন্ত ছেলে-মেয়েদের ভালভাবে খেয়াল রাখলে বাকী জীবন সুন্দর হয়ে যায়। টিন-এজ ছেলে-মেয়েদের সম্পর্কে আমরা হয়ত অনেকে অনেক কিছুই জানি কিন্তু নানা কারণে সেগুলাে গভীরভাবে খতিয়ে দেখা ও অভিজ্ঞতার প্রয়ােগ আমাদের হয়ে উঠেনা। সে কারণে আমরা আমাদের পরিবারের টিন-এজ ছেলে-মেয়েদের জন্য যা করতে পারতাম তা পারিনা। মােটা দাগে বলতে গেলে টিন-এজ ছেলে-মেয়েদের পরিবর্তন শারিরীক ও মানসিক দু'ভাবেই হয়ে থাকে। টিন-এজ ছেলে-মেয়েদের পরিবর্তন নিয়ে স্বাস্থ্য বিজ্ঞানের পাঠ্য বই গবেষনাধর্মী কোন বই লেখার উদ্দেশ্যে নয়, বরং টিন-এজ ছেলে-মেয়েদের সমস্যা সম্পর্কে সবাইকে একটা সাধারণ ধারণা দেবার মানসে যথাসম্ভব সহজ ভাষায় টিন-এজ ছেলেমেয়েদের শারীরিক ও মানসিক পরিবর্তনের কারণ, সমস্যা, ইত্যাদি এই বইতে তুলে ধরার চেষ্টা করা হয়েছে।",টিন এজ ছেলে-মেয়েদের সমস্যা ও তার সমাধান,সায়েদুল আরেফিন, , ,একাডেমিক প্রেস এন্ড পাবলিশার্স লাইব্রেরি,9789849144724,"1st Published,2015",48,বাংলাদেশ,বাংলা
Local Government in Bangladesh,কামাল সিদ্দিকী,TK. 700,TK. 525,https://rokomari.com//book/42655/local-government-in-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c79b984e98d4_42655.jpg,"Local government In bangladesh' About Of The book:
This is undoubtedly the most authoritative work on a subject that is attracting renewed attention throughout the world in the light of need for decentralisation in a globalised world. It is now a prescribed text book in several Universities at home and abroad. This is the fifth edition, thoroughly revised and updated with new materials added. It consists of four parts, namely theoretical perspectives on local government and decentralisation, evolution of local government in Bangladesh since the ancient times, the current practice of local government (embracing structure and composition, functions, finance, personnel and relations with the national government) and leading issues and major challenges facing local government in Bangladesh. Divided into nine chapters and containing a rich bibliography, informative annexure and illustrative organograms. It is an essential reading for all development practitioners, civil servants, politicians and researchers, students and teachers of politics, public administration and sociology.",Local Government in Bangladesh,"Kamal Siddiqui,Jamshed Ahmed", , ,Academic Press & Publishers Library,9789849144892,"5th Edition,2016", ,Bangladesh,English
ব্রেভ অফ হার্ট,হাবিবুল আলম (বীর প্রতীক),TK. 500,TK. 375,https://rokomari.com//book/68692/brave-of-heart,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/889767aa29b4_68692.jpg,"""ব্রেভ অফ হার্ট"" বইয়ের সংক্ষিপ্ত কথা:

১৯৭১ সালে ঢাকা বিশ্ববিদ্যালয়ে ছাত্রাবস্থাতেই লেখক মুক্তিযুদ্ধে যােগ দেন। এই কাহিনী একটি উদ্দীপ্ত গেরিলা যুদ্ধে এক যুবকের কঠোর নিয়মকানুনে দিনযাপন, দেশ ও দেশের জনগণের প্রতি তাঁর এবং তাঁর সহযােদ্ধাদের গভীর ভালবাসারই এক নিখুঁত প্রতিচ্ছবি। তিনি ছােট ছােট কাহিনীর বিন্যাস করেছেন ঘটনাক্রম অনুযায়ী - তাঁর সেক্টরে যুদ্ধ আসছে, এক তরুণ যােদ্ধার জীবনে আসছে আনন্দ-বেদনার রহস্যমাখা এক অজানা অধ্যায়। তিনি তাঁর গ্রন্থে সত্য ঘটনা ও সংঘটিত যুদ্ধের বর্ণনা দিয়েছেন, তবে কোথাও কোথাও তিনি আমাদের উপহার দিয়েছেন কিছু অসাধারণ আবেগঘন মুহূর্ত, যা কাব্যিক ব্যঞ্জনায় মূর্ত হয়ে উঠেছে। তাঁর ব্যবহার করা উক্তিগুলি অসাধারণ এবং প্রাসঙ্গিক। এগুলি বইটিকে আরাে সমৃদ্ধ করেছে।",ব্রেভ অফ হার্ট,হাবিবুল আলম (বীর প্রতীক), , ,একাডেমিক প্রেস এন্ড পাবলিশার্স লাইব্রেরি,9789849144779,"1st Published,2016", ,বাংলাদেশ,বাংলা
‘৭১-এর যুদ্ধশিশু : অবিদিত ইতিহাস,মুস্তফা চৌধুরী,TK. 800,TK. 600,https://rokomari.com//book/96979/-71-er-juddhoshishu---obiditi-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150224_96979.gif,"‘৭১-এর যুদ্ধশিশুঃ অবিদিত ইতিহাসঃ
‘৭১-এর যুদ্ধশিশুঃ অবিদিত ইতিহাস শীর্ষক গ্রন্থটি কোনো সাদামাটা গবেষণাগ্রন্থ নয়; বরং এটি উচ্চতর মানবিক চেতনাকে উজ্জীবিত এবং শিশু অধিকার প্রতিষ্ঠা করতে এক গবেষণাধর্মী প্রামাণ্য দলিল বটে। কেননা গ্রন্থটি বাংলাদেশ, যুক্তরাজ্য, যুক্তরাষ্ট্র, সুইজারল্যাণ্ড ও কানাডাতে প্রাপ্ত প্রামাণিক দলিলাদির ভিত্তিতে রচিত । যুদ্ধকালীন ও যুদ্ধোত্তর বাংলাদেশের ইতিহাসের যে অজানা দিক রয়েছে সে দুর্জ্ঞেয় বিষয়ে গবেষণা করে যে নতুন তথ্যের সন্ধান পাওয়া যায়, সে বিদিত অংশটুকু এ গ্রন্থে লিপিবদ্ধ করার চেষ্টা করেছেন লেখক। এই গ্রন্থে পাকবাহিনী কর্তৃক বাঙালি নারীদের প্রতি নির্দয় বর্বরতার চিত্র উপস্থাপনসহ যুদ্ধশিশুদের জন্মকথা এবং তাদের জন্মপরবর্তী সময়ে করণীয় সম্পর্কে তৎকালীন বাংলাদেশ ও কানাডার প্রশাসনিক ও আইনি জটিলতা এবং উভয় দেশের শ্রেণিবৈষম্যবোধ, বর্ণবৈষম্যবোধ এবং সাংস্কৃতিক ঐতিহ্যের খুঁটিনাটি বিভিন্ন দিক তুলে ধরা হয়েছে। যুদ্ধশিশুদের জন্মবৃত্তান্ত জানতে হলে এ গ্রন্থের প্রথম তিনটি অধ্যায় পাঠ করা পাঠকের জন্য অপরিহার্য। কিন্তু পরবর্তী অধ্যায়গুলো, যেমন- বাংলাদেশ থেকে কানাডাঃ যুদ্ধশিশুর দুঃসাহসিক অভিযান; দত্তকগ্রাহী বাবা-মা এবং যুদ্ধশিশুঃ একটি আভরণচিত্র; দত্তকগ্রাহী বাবা-মার আনন্দ-বেদনা এবং কানাডাতে বেড়ে ওঠা যুদ্ধশিশু আধুনিক পাঠকের মনে বিশ্বমানবিকতার কারণে এমন অনেক জিজ্ঞাসা জাগাতে সক্ষম হতে পারে। সেগুলো বর্তমান একুশ শতকের পরিস্থিতি-তাড়িত বিপর্যস্ত মানুষের মনে নতুন অনুসন্ধিৎসা, আশা, ন্যায়বিচার প্রতিষ্ঠা ও মানব কল্যাণের সর্বোৎকৃষ্ট মতবাদ গ্রহণের আগ্রহ জাগাবে। শুধু তাই নয়, তৎকালীন অগ্রসর জ্ঞানের আলোকে শ্বেতকায় দত্তকগ্রাহী বাবা-মা সন্তান প্রতিপালনে এবং তাদের দত্তকায়িত সন্তানরা নিজেদের জন্মবৃত্তান্ত জেনেও আবেগ ও বুদ্ধির সূক্ষ্মাতিসূক্ষ্ম বিশ্লেষণ কীভাবে করেছে অপার ভালোবাসায়, তারই জীবন্ত দলিলকে উপস্থাপন করা হয়েছে এই আলোচ্য গ্রন্থে। নিঃসন্দেহে তা একজন সংবেদনশীল ও উদারপন্থী আধুনিক পাঠককেও মন্ত্রমুগ্ধের মতো নিয়ে যায় এবং আপনজনের ভালোবাসার স্বরূপ সম্পর্কে নতুন করে ভাবতে অনুপ্রাণিত করে। সর্বোপরি বিশ্বমানবিকতাকে কেন উপেক্ষা করা যায় না দেশে দেশে, কালে কালে এবং সর্বকালে দত্তক সন্তানের মানসজগৎ কেমন হয়ে থাকে এবং ধর্ম-বর্ণ-শ্রেণি নির্বিশেষে শিশু অধিকার প্রতিষ্ঠায় কোন্ ধরনের ভূমিকা পরিহার্য তারই অনুপুঙ্খ ও চমকপ্রদ বিশ্লেষণ করেছেন লেখক মুস্তফা চৌধুরী তার তথ্যবহুল গবেষণামূলক গ্রন্থে।",‘৭১-এর যুদ্ধশিশু : অবিদিত ইতিহাস,মুস্তফা চৌধুরী, , ,একাডেমিক প্রেস এন্ড পাবলিশার্স লাইব্রেরি,9789849144793,"1st,2015",497,বাংলাদেশ,বাংলা
Bangladesh Foreign Policy,হারুন উর রশীদ,"TK. 1,000",TK. 750,https://rokomari.com//book/68577/bangladesh-foreign-policy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ddcbca9d2_68577.jpg,"Being a small-sized country (147,570 square kilometres) almost surrounded by India with a large population (140 million as of 2005), limited natural resources and dependence on foreign aid, the author argues Bangladesh has limited range of options in foreign policy. The author defines national interests rigorously in the context of a new set of realities, recognises what is and what is not achievable for Bangladesh and sets priorities and challenges accordingly.
The book is built around four themes:
(i) Historical backgrounds as well as the domestic and international setting, the foreign policy making-process, the principal actors in formulating foreign policy, the country's strengths and weaknesses and impact of changes in international politics, (ii) Nature and content of interactions of Bangladesh with countries in various regions, (iii) Role of Bangladesh in inter-governmental organisations including in the UN and SAARC, Commonwealth and Non-Aligned Movement and (iv) Some of the challenging security, economic and social issues Bangladesh is likely to face at the 21st century.
The book provides an account that reveals the shape and direction of Bangladesh foreign policy. It also makes a statement where Bangladesh is going and why.  
First of its kind in its rather exhaustive treatment of foreign policy, the book will be useful tool for teachers and students of international relations, political science and history, journalists, diplomats and general readers who are interested in the study of Bangladesh foreign policy.",Bangladesh Foreign Policy,Harun Ur Rashid, , ,Academic Press & Publishers Library,9789849144786,"4th Edition,2020", ,Bangladesh,English
ঋণ ঝুঁকি ব্যবস্থাপনা,মোঃ হাবিবুল হাছান ছিদ্দিক,TK. 300,TK. 225,https://rokomari.com//book/113194/credit-risk-management,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/551ea79bf104_113194.gif,"",ঋণ ঝুঁকি ব্যবস্থাপনা,মোঃ হাবিবুল হাছান ছিদ্দিক, , ,একাডেমিক প্রেস এন্ড পাবলিশার্স লাইব্রেরি,9789849144854,"1st Published,2016",135,বাংলাদেশ,বাংলা
শিশুর হাতে খড়ি,সায়েদুল আরেফিন,TK. 70,TK. 53,https://rokomari.com//book/95070/shishur-hate-khori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1b71c917f_95070.jpg,"",শিশুর হাতে খড়ি,সায়েদুল আরেফিন, , ,একাডেমিক প্রেস এন্ড পাবলিশার্স লাইব্রেরি,9789849144748,"1st Published,2015",56,বাংলাদেশ,বাংলা
সাংবাদিকতা: অফলাইন অনলাইন,মাহামুদুল হক,TK. 350,TK. 263,https://rokomari.com//book/113497/sangbadikata-offline-online,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d08cdf482914_113497.gif,"",সাংবাদিকতা: অফলাইন অনলাইন,মাহামুদুল হক, , ,একাডেমিক প্রেস এন্ড পাবলিশার্স লাইব্রেরি,9789849144908,"1st Published,2016",244,বাংলাদেশ,বাংলা
ঢাকার প্রাচীন নিদর্শন,স্যার চালর্স ড’য়লী,TK. 450,TK. 338,https://rokomari.com//book/68708/dhakar-prachin-nidorshon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/042d2db91_68708.jpg,"বাংলাদেশের ইতিহাস নিয়ে বহু গ্রন্থ রচনা করা হলেও বাংলাদেশের রেলওয়ের ইতিহাস নিয়ে আজও পর্যন্ত কোন গবেষণামূলক গ্রন্থ লেখা হয়নি। আর এই ব্যতিক্রমধর্মী কাজটি করেছেন ড. দিনাক সোহানী কবির, তাঁর পূর্ববাংলার রেলওয়ের ইতিহাস ১৮৬২-১৯৪৭ গ্রন্থটির মাধ্যমে। এই গ্রন্থটি ড.দিনাক তাঁর ঢাকা বিশ্ববিদ্যালয়ের “পূর্ববাংলার রেলওয়ের আগমন এবং এই অঞ্চলের আর্থ-সামাজিক জীবনের উপর এর প্রভাব ১৮৬২-১৯৪৭” অভিসন্দর্ভকে ভিত্তি করে রচনা করেছেন। গ্রন্থে উপস্থাপিত তথ্য অনেক ক্ষেত্রেই চমকপ্রদ এবং বিস্ময়কর। এই গ্রন্থ থেকে পূর্ববাংলায় রেলকেন্দ্রিক যে একটি নতুন সমাজ তার স্বতন্ত্র ভাব নিয়ে গড়ে উঠেছিল তা বিস্তারিতভাব জানা যাবে।",ঢাকার প্রাচীন নিদর্শন,স্যার চালর্স ড’য়লী,শাহ মুহাম্মদ নাজমুল আলম, ,একাডেমিক প্রেস এন্ড পাবলিশার্স লাইব্রেরি,9840802585,"3rd printed,2014",117,বাংলাদেশ,বাংলা
