Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
এ শর্ট হিস্ট্রি অব দি স্যারাসিন্স: আরব জাতির ইতিহাস,স্যার সৈয়দ আমীর আলী,TK. 400,TK. 300,https://rokomari.com//book/29320/a-short-history-of-the-saracins--arob-jatir-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0973a6d4a_29320.jpg,"",এ শর্ট হিস্ট্রি অব দি স্যারাসিন্স: আরব জাতির ইতিহাস, , ,স্যার সৈয়দ আমীর আলী,আলোর ভুবন,97898490736128,"3rd Printed,2018",432,বাংলাদেশ,বাংলা
ব্যবহারিক বাংলা বিপরীত শব্দের অভিধান,ড. সৌমিত্র শেখর,TK. 350,TK. 263,https://rokomari.com//book/167415/baboharik-bangla-biporit-sabdher-avidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7486de291_167415.jpg,"",ব্যবহারিক বাংলা বিপরীত শব্দের অভিধান,"ড. সৌমিত্র শেখর,মোঃ হারুনর রশিদ", , ,আলোর ভুবন,97898490736230,"1st Published,2017",216,বাংলাদেশ,বাংলা
মুক্তিযুদ্ধের স্মৃতি ও কথা,তপন কুমার দে,TK. 600,TK. 450,https://rokomari.com//book/80478/muktijuddher-smriti-o-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b070c8d6ebb4_80478.gif,"",মুক্তিযুদ্ধের স্মৃতি ও কথা,তপন কুমার দে, , ,আলোর ভুবন,9789849073659,"1st Published,2016",416,বাংলাদেশ,বাংলা
চিরনতুন রূপকথা,আমীরুল ইসলাম,TK. 175,TK. 131,https://rokomari.com//book/158108/chironotun-rupkotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d80ed22a0_158108.jpg,"",চিরনতুন রূপকথা,আমীরুল ইসলাম, , ,আলোর ভুবন,9789849327806,"1st Published,2018",111,বাংলাদেশ,বাংলা
বঙ্গবন্ধু-জিজ্ঞাসা ,সৌমিত্র শেখর,TK. 450,TK. 338,https://rokomari.com//book/202439/bangabandhu-jingasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2541a9896_202439.jpg,"বঙ্গবন্ধুকে নিয়ে বাজারে এতাে বই থাকতে, কেন এই গ্রন্থ? 
আসলে, ১৯৭১ সালে মহান মুক্তিযুদ্ধের মাধ্যমে এক সাগর রক্তের বিনিময়ে অর্জিত যে বাংলাদেশ, তার কর্ণধার জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান। বাংলাদেশ যখন স্বাধীন হয় তখন তার বয়স মাত্র ৫১ বছর। ভারত, পাকিস্তান, চায়না-বাংলাদেশের সঙ্গে নানা কারণে সম্পর্কযুক্ত কাছাকাছি দেশগুলাের স্বাধীনতাকালে তাদের নেতাদের বয়স ছিল কিন্তু আরও বেশি। ভারত স্বাধীন হওয়ার সময় মহাত্মা গান্ধীর বয়স ছিল ৭৮ বছর, পাকিস্তান স্বাধীন হওয়ার সময় মােহাম্মদ আলি জিন্নাহর বয়স ছিল ৭১ বছর, চীন সমাজতান্ত্রিক বিপ্লব সম্পন্ন করার সময় মাও সেতুং-এর বয়স ছিল ৫৬ বছর। বিশেষ করে, ভারত ও পাকিস্তান-যে দুটো। দেশের সঙ্গে বাংলাদেশের পরিচয় ১৯৪৭ সালের পূর্ব পর্যন্ত একসূত্রে গ্রথিত ছিল, সে দুটো দেশের জাতির পিতার চেয়ে স্বাধীনতাকালে বাংলাদেশের জাতির পিতার বয়স ছিল অনেক কম। এ অল্প বয়সেই তিনি বাংলাদেশের স্বাধীনতা সংগ্রামের নেতৃত্ব নিয়েছেন। জীবনে দীর্ঘ সংগ্রাম করেছেন তিনি। কিন্তু দেশ-পরিচালনার সময় পেয়েছেন মাত্র সাড়ে তিন বছর। তাঁর সম্পর্কে এখনও অনেক কিছু অজানাই রয়ে গেছে। বিশেষ করে অনুসন্ধিৎসু এবং শিক্ষার্থীদের কাছে এই মহান পুরুষকে সম্যকভাবে তুলে ধরার প্রয়াসেই এই গ্রন্থ প্রণীত হয়েছে।",বঙ্গবন্ধু-জিজ্ঞাসা,সৌমিত্র শেখর, , ,আলোর ভুবন,9789849327829,"2nd Published,2020",300,বাংলাদেশ,বাংলা
ইসলামে বিভিন্ন দর্শন ও দার্শনিক সম্প্রদায়ের বিকাশ,ড. মোঃ ইব্রাহীম খলিল,TK. 420,TK. 382,https://rokomari.com//book/94219/islame-bivinon-dorshon-o-darshonik-somprodayer-bikash,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/445f94171_94219.jpg,"",ইসলামে বিভিন্ন দর্শন ও দার্শনিক সম্প্রদায়ের বিকাশ,"ড. মোঃ ইব্রাহীম খলিল,প্রফেসর ড. মো. আতিয়ার রহমান", , ,আলোর ভুবন,9789849073642,"2nd Printed,2017",400,বাংলাদেশ,বাংলা
গণিতের ইতিহাস ও মৌলিক ধারণা      ,মো. হারুনর রশীদ,TK. 250,TK. 188,https://rokomari.com//book/194329/ganiter-itihas-o-mowlik-dharona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2a60cf610_194329.jpg,"",গণিতের ইতিহাস ও মৌলিক ধারণা,"মো. হারুনর রশীদ,ড. মোহাম্মদ তৌফিকুল ইসলাম", , ,আলোর ভুবন,9789849327820,"1st Published,2020",160,বাংলাদেশ,বাংলা
যুদ্ধ,আহসান হাবীব (কার্টুনিস্ট),TK. 135,TK. 101,https://rokomari.com//book/181795/juddho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ad996e09c_181795.jpg,"",যুদ্ধ,আহসান হাবীব (কার্টুনিস্ট), , ,আলোর ভুবন,9789849390541,"1st Published,2019",61,বাংলাদেশ,বাংলা
শিশুর আচরণ ও ক্রমবিকাশ,প্রফেসর দরিয়ানূর বেগম,TK. 450,TK. 419,https://rokomari.com//book/184833/shishor-achoron-o-kromobikash,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/385998cab_184833.jpg,"",শিশুর আচরণ ও ক্রমবিকাশ,প্রফেসর দরিয়ানূর বেগম, , ,আলোর ভুবন,97898493278143,"1st Edition,2018",360,বাংলাদেশ,বাংলা
মুসলিম ভারতের সামাজিক সাংস্কৃতিক ও অর্থনৈতিক ইতিহাস(৭১২-১৭৬৫),মাহবুবুর রহমান,TK. 460,TK. 419,https://rokomari.com//book/168136/muslim-varoter-samajik-sangskritik-o-orthonoitik-itihas-712-1765-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4afe8c10e_168136.jpg,"",মুসলিম ভারতের সামাজিক সাংস্কৃতিক ও অর্থনৈতিক ইতিহাস(৭১২-১৭৬৫),মাহবুবুর রহমান, , ,আলোর ভুবন,97898493278120,"1st Published,2018",430,বাংলাদেশ,বাংলা
