Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
এবং আংটি,এম. ডি. রাজীব হাসান ,TK. 150,TK. 132,https://rokomari.com//book/93680/abong-angti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150217_93680.gif,"",এবং আংটি,এম. ডি. রাজীব হাসান, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
কবিতায় অতীত,খন্দকার মমতাজ হাসান,TK. 100,TK. 90,https://rokomari.com//book/93977/kobitay-oteet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150208_93977.gif,"",কবিতায় অতীত,খন্দকার মমতাজ হাসান, , ,আলপনা প্রকাশনী,9789846460,"1st,2015",64,বাংলাদেশ,বাংলা
তিন কিশোরের যুদ্ধে যাওয়া ,আমেনা আফতাব,TK. 150,TK. 132,https://rokomari.com//book/93978/tin-kishorer-judde-jawa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5ff9996368e4_93978.gif,"",তিন কিশোরের যুদ্ধে যাওয়া,আমেনা আফতাব, , ,আলপনা প্রকাশনী,9789846444,"1st Published,2015",88,বাংলাদেশ,বাংলা
মুক্তির গান,সুশান্ত হালদার,TK. 200,TK. 176,https://rokomari.com//book/93979/muktir-gaan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150208_93979.gif,"",মুক্তির গান,সুশান্ত হালদার, , ,আলপনা প্রকাশনী,9789846568,"1st,2015",96,বাংলাদেশ,বাংলা
না বলা কথা,আসিফ মো. নজরুল 	 ,TK. 120,TK. 106,https://rokomari.com//book/77643/na-bola-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77643.GIF,"",না বলা কথা,আসিফ মো. নজরুল, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
বেদনার লাল চিঠি,মফিজুল ইসলাম,TK. 200,TK. 176,https://rokomari.com//book/81392/bedonar-lal-chithi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বেদনার লাল চিঠি,মফিজুল ইসলাম, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
কালো দিন সাদা রাত,রহিমা আখতার কল্পনা,TK. 80,TK. 72,https://rokomari.com//book/81393/kalo-din-sada-rat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কালো দিন সাদা রাত,রহিমা আখতার কল্পনা, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
জীবন রক্তচোর ,আর. পি. চ্যাটার্জি,TK. 150,TK. 132,https://rokomari.com//book/79231/jibon-roktochor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জীবন রক্তচোর,আর. পি. চ্যাটার্জি, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
ব বঙ্গ বা বাঙলা,গিয়াস উদ্দিন চাষা,TK. 150,TK. 132,https://rokomari.com//book/79325/b-bongo-ba-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ব বঙ্গ বা বাঙলা,গিয়াস উদ্দিন চাষা, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
খেলতে খেলতে বর্ণমালা,তৌফিক আজিজ,TK. 100,TK. 90,https://rokomari.com//book/79327/khelte-khelte-bornomala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",খেলতে খেলতে বর্ণমালা,তৌফিক আজিজ, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
মধ্য রাতের গদ্য আলাপ 	 ,প্রফেসর মোঃ মোজাম্মেল হক,TK. 150,TK. 132,https://rokomari.com//book/79412/moddho-rater-goddo-alap,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মধ্য রাতের গদ্য আলাপ,প্রফেসর মোঃ মোজাম্মেল হক, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
ভূত পেত্মী ও পরীর গল্প ,হাসিনা আক্তার,TK. 120,TK. 106,https://rokomari.com//book/79415/vut-o-petmi-o-porir-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভূত পেত্মী ও পরীর গল্প,হাসিনা আক্তার, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
কলম বন্ধু ,দন্ত্যস রওশন,TK. 225,TK. 191,https://rokomari.com//book/79416/kalam-bandhu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কলম বন্ধু,"দন্ত্যস রওশন,রবিউল ইসলাম", , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
কন্যা রাশির মেয়ে,এম. ডি. রাজীব হাসান ,TK. 150,TK. 132,https://rokomari.com//book/79464/konna-rashir-meye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কন্যা রাশির মেয়ে,এম. ডি. রাজীব হাসান, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
অরুনিমার উত্তরাঘন ,রেহেনা  বেগম রুবী ,TK. 70,TK. 63,https://rokomari.com//book/79465/arunimar-uttoragono,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অরুনিমার উত্তরাঘন,রেহেনা  বেগম রুবী, , ,আলপনা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
