Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গোয়েন্দা অশোক ঠাকুর সমগ্র -২য় খণ্ড,"সমরেশ বসু (ছদ্মনাম- কালকূট, ভ্রমর)","",TK. 540,https://rokomari.com//book/137491/goyendha-ashok-thakur-somogro--2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/722f0bda4_137491.jpg,"",গোয়েন্দা অশোক ঠাকুর সমগ্র -২য় খণ্ড, , ,"সমরেশ বসু (ছদ্মনাম- কালকূট,ভ্রমর)",অঞ্জলি প্রকাশনী (ভারত),9788192256702,"3rd printed,2018",376,ভারত,বাংলা
বেসিক প্রোগ্রামিং,কৌশিক দত্ত ,"",TK. 180,https://rokomari.com//book/137482/basic-programing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8cf40d98f_137482.jpg,"",বেসিক প্রোগ্রামিং,"কৌশিক দত্ত,সোমা রায় চৌধুরী", , ,অঞ্জলি প্রকাশনী (ভারত),9788187114895,"1st Published,2009",127,ভারত,বাংলা
বৃষ্টি পতনের শব্দ,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),"",TK. 234,https://rokomari.com//book/137494/brishti-potoner-shobdho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6baf14ebb_137494.jpg,"",বৃষ্টি পতনের শব্দ,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,অঞ্জলি প্রকাশনী (ভারত),9788187114741,"2nd Edition,2014",184,ভারত,বাংলা
গোয়েন্দা অশোক ঠাকুর সমগ্র -৩য় খণ্ড,"সমরেশ বসু (ছদ্মনাম- কালকূট, ভ্রমর)","",TK. 540,https://rokomari.com//book/137497/goyendha-ashok-thakur-somogro--3rd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গোয়েন্দা অশোক ঠাকুর সমগ্র -৩য় খণ্ড,"সমরেশ বসু (ছদ্মনাম- কালকূট,ভ্রমর)", , ,অঞ্জলি প্রকাশনী (ভারত),9788192564128,"2nd Edition,2018",263,ভারত,বাংলা
গোয়েন্দা অশোক ঠাকুর সমগ্র -১ম খণ্ড,"সমরেশ বসু (ছদ্মনাম- কালকূট, ভ্রমর)","",TK. 540,https://rokomari.com//book/137496/goyendha-ashok-thakur-somogro--1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গোয়েন্দা অশোক ঠাকুর সমগ্র -১ম খণ্ড,"সমরেশ বসু (ছদ্মনাম- কালকূট,ভ্রমর)", , ,অঞ্জলি প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
প্রাথমিক কম্পিউটার শিক্ষা,কৌশিক দত্ত ,"",TK. 315,https://rokomari.com//book/137495/prathomik-computer-shikkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রাথমিক কম্পিউটার শিক্ষা,কৌশিক দত্ত, , ,অঞ্জলি প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
পরিবর্তন,শক্তিপদ রাজগুরু,"",TK. 162,https://rokomari.com//book/137484/poriborton,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পরিবর্তন,শক্তিপদ রাজগুরু, , ,অঞ্জলি প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
কোরেল ড্র,কৌশিক দত্ত ,"",TK. 360,https://rokomari.com//book/137485/korel-draw,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কোরেল ড্র,কৌশিক দত্ত, , ,অঞ্জলি প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
পারঘাট,শক্তিপদ রাজগুরু,"",TK. 225,https://rokomari.com//book/137488/parghat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পারঘাট,শক্তিপদ রাজগুরু, , ,অঞ্জলি প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
কবির স্ত্রী,অতীন বন্দ্যোপাধ্যায়,"",TK. 270,https://rokomari.com//book/137489/kobir-stree,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কবির স্ত্রী,অতীন বন্দ্যোপাধ্যায়, , ,অঞ্জলি প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
