Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
রূপসী পদ্মা,নীহাররঞ্জন গুপ্ত,"",TK. 90,https://rokomari.com//book/171451/ruposi-padma,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রূপসী পদ্মা,নীহাররঞ্জন গুপ্ত, , ,আশাবরী পাবলিকেশন (ভারত), ,2011, ,ভারত,বাংলা
কৌশোরের কিশলয়,কালীপদ সামন্ত,"",TK. 144,https://rokomari.com//book/171448/koushorer-kisholoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কৌশোরের কিশলয়,কালীপদ সামন্ত, , ,আশাবরী পাবলিকেশন (ভারত), ,2010, ,ভারত,বাংলা
সাম্প্রতিক কবিতার চালচিত্র,কালীপদ সামন্ত,"",TK. 270,https://rokomari.com//book/171449/samprotik-kobitar-chalchitro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাম্প্রতিক কবিতার চালচিত্র,কালীপদ সামন্ত, , ,আশাবরী পাবলিকেশন (ভারত), ,2011, ,ভারত,বাংলা
স্বামী বিবেকানন্দের আদর্শে জীবন গঠনের পথনির্দেশ,কালিদাস গুহঠাকুরতা,"",TK. 108,https://rokomari.com//book/171450/swami-bibekanander-adorshe-jibon-gothoner-pothonirdesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বামী বিবেকানন্দের আদর্শে জীবন গঠনের পথনির্দেশ,কালিদাস গুহঠাকুরতা, , ,আশাবরী পাবলিকেশন (ভারত), ,2011, ,ভারত,বাংলা
নিজের সঙ্গে কথা,বীথিকা ভট্টাচার্য,"",TK. 144,https://rokomari.com//book/171452/nijer-songe-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নিজের সঙ্গে কথা,বীথিকা ভট্টাচার্য, , ,আশাবরী পাবলিকেশন (ভারত), ,2015, ,ভারত,বাংলা
দেশনায়ক বিবেকানন্দ যুগ থেকে যুগান্তরে,শ্রীনিবাস নন্দী,"",TK. 225,https://rokomari.com//book/171453/deshnayok-bibekanando-jug-theke-jugantore,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দেশনায়ক বিবেকানন্দ যুগ থেকে যুগান্তরে, , ,শ্রীনিবাস নন্দী,আশাবরী পাবলিকেশন (ভারত), ,2015, ,ভারত,বাংলা
"হাজতবাস,পরবর্তী কবিতাগুচ্ছ",সুনির্মল কুন্ডু,"",TK. 90,https://rokomari.com//book/137953/hajotbas--poroborti-kobitaguchho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","হাজতবাস,পরবর্তী কবিতাগুচ্ছ",সুনির্মল কুন্ডু, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
তসলিমার কান্না,কাজী হাবিবুর রহমান,"",TK. 108,https://rokomari.com//book/137954/taslimar-kanna,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তসলিমার কান্না,কাজী হাবিবুর রহমান, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
সামন্ততান্ত্রিক ভাবনা ও বাংলা সাহিত্য,শিশির কুমার মাইতি,"",TK. 405,https://rokomari.com//book/137955/samntotantrik-bhabonao-bangla-sahityo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সামন্ততান্ত্রিক ভাবনা ও বাংলা সাহিত্য,শিশির কুমার মাইতি, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
আর্শিতে আশির মুখ,মানিক মৈত্র,"",TK. 90,https://rokomari.com//book/137956/arshite-ashir-mukh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আর্শিতে আশির মুখ,মানিক মৈত্র, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
এই মাটি এই মন এই দেশ,খায়রুল বাসার,"",TK. 180,https://rokomari.com//book/137957/ei-mati-ei-mon-ei--desh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এই মাটি এই মন এই দেশ,খায়রুল বাসার, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
টমাস হার্ডির অন্য চতুষ্টয়,জীবন কুমার মুখোপাধ্যায়,"",TK. 270,https://rokomari.com//book/137958/tomas-hardir-anyo-chotushtoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",টমাস হার্ডির অন্য চতুষ্টয়,জীবন কুমার মুখোপাধ্যায়, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
অজানা সাগরে,জগদীশ বন্দ্যোপাধ্যায়,"",TK. 72,https://rokomari.com//book/137959/ojana-sagore,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অজানা সাগরে,জগদীশ বন্দ্যোপাধ্যায়, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
লিখন ও প্রাক্লিখন শব্দসন্ধান,বিনয় সরকার,"",TK. 315,https://rokomari.com//book/137960/likhon-o-praklikhon-shobdosondhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",লিখন ও প্রাক্লিখন শব্দসন্ধান, , ,বিনয় সরকার,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
বিতর্কিত মানিক শিবনারায়ন এবং অন্যান্য,দেবী রায়,"",TK. 180,https://rokomari.com//book/137961/bitorkito-manik-shibnarayon-ebong-onnyanyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিতর্কিত মানিক শিবনারায়ন এবং অন্যান্য,দেবী রায়, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
আমি আসছি,প্রমোদ বসু,"",TK. 72,https://rokomari.com//book/137962/ami-aschi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি আসছি,প্রমোদ বসু, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
কবর থেকে বলছি,কাজী হাবিবুর রহমান,"",TK. 54,https://rokomari.com//book/137963/kobor-theke-bolchi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কবর থেকে বলছি,কাজী হাবিবুর রহমান, , ,আশাবরী পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
