Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"অ্যাসিওরেন্স ভূগোল, পরিবেশ ও দুর্যোগ ব্যবস্থাপনা, নৈতিকতা, মূল্যবোধ ও সুশাসন- এমসিকিউ",শামীম হোসেন,TK. 260,TK. 169,https://rokomari.com//book/204146/assurance-vugol--poribesh-o-durjog-babosthapona--noitikota--mullobodh-o-shusashon--mcq,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4883db0cb_204146.jpg,"","অ্যাসিওরেন্স ভূগোল,পরিবেশ ও দুর্যোগ ব্যবস্থাপনা,নৈতিকতা,মূল্যবোধ ও সুশাসন- এমসিকিউ", , ,"শামীম হোসেন,মোঃ মনিরুজ্জামান খান,মোঃ আব্দুর রাজ্জাক,কামরুল ইসলাম বিসিএস,মোঃ মিজানুর রহমান বিসিএস",Assurance Publications, ,"Edition,2020", ,Bangladesh,Bangla & English
অ্যাসিওরেন্স ম্যাথ এমসিকিউ,মেহবুব মোর্শেদ (লিটু) বিসিএস,TK. 480,TK. 336,https://rokomari.com//book/203858/assurance-math-mcq,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/94bb03e87_203858.jpg,"",অ্যাসিওরেন্স ম্যাথ এমসিকিউ, , ,"মেহবুব মোর্শেদ (লিটু) বিসিএস,মো: আরিফ হাসাইন,মো: রেজাউল হক",অ্যাসিওরেন্স পাবলিকেশন্স, ,"Edition,2020", ,বাংলাদেশ,বাংলা
অ্যাসিওরেন্স বিসিএস লিখিত গাণিতিক যুক্তি,মেহবুব মোর্শেদ (লিটু) বিসিএস,TK. 980,TK. 686,https://rokomari.com//book/203857/assurance-bcs-likhito-ganitik-jukti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4a072f516_203857.jpg,"",অ্যাসিওরেন্স বিসিএস লিখিত গাণিতিক যুক্তি, , ,"মো: আলমগীর হোসেন (বিসিএস),মেহবুব মোর্শেদ (লিটু) বিসিএস,ইঞ্জিনিয়ার মো: আক্তারুজ্জামান (ফরহাদ),মো: আরিফ হাসাইন",অ্যাসিওরেন্স পাবলিকেশন্স, ,"Edition,2020", ,বাংলাদেশ,বাংলা
অ্যাসিওরেন্স বিসিএস ভাইভা সহায়িকা পুলিশ ক্যাডার,মোঃ আব্দুর রাজ্জাক -২,TK. 350,TK. 228,https://rokomari.com//book/204233/assurance-bcs-viva-sohayika-police-cadre,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/df7b6acd1_204233.jpg,"",অ্যাসিওরেন্স বিসিএস ভাইভা সহায়িকা পুলিশ ক্যাডার,"মোঃ আব্দুর রাজ্জাক -২,মোঃ মনিরুজ্জামান খান,মেহবুব মোর্শেদ (লিটু) বিসিএস,কামরুল ইসলাম বিসিএস,মাহফুজুর রহমান বিসিএস,মোঃ মিজানুর রহমান বিসিএস,এ এইচ এম মঈনউদ্দিন (সাকিব) বিসিএস", , ,অ্যাসিওরেন্স পাবলিকেশন্স,9789849051787,"4th Edition,2019", ,বাংলাদেশ,বাংলা
অ্যাসিওরেন্স বিসিএস প্রিলিমিনারি কোশ্চেন্স ব্যাংক,মোঃ মনিরুজ্জামান খান,"",TK. 130,https://rokomari.com//book/204145/assurance-bcs-preliminary-questions-bank,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1acf04db8_204145.jpg,"",অ্যাসিওরেন্স বিসিএস প্রিলিমিনারি কোশ্চেন্স ব্যাংক, , ,"মোঃ মনিরুজ্জামান খান,মোঃ আব্দুর রাজ্জাক,মেহবুব মোর্শেদ (লিটু) বিসিএস,কামরুল ইসলাম বিসিএস,মোঃ মিজানুর রহমান বিসিএস,মো: আতাউর রহমান (শাব্বির)",Assurance Publications, ,"Edition,2020", ,Bangladesh,Bangla & English
অ্যাসিওরেন্স বিসিএস প্রিলিমিনারি ডাইজেস্ট,মেহবুব মোর্শেদ (লিটু) বিসিএস,TK. 610,TK. 397,https://rokomari.com//book/204385/assurance-bcs-preliminary-digest,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2e4de05d0_204385.jpg,"",অ্যাসিওরেন্স বিসিএস প্রিলিমিনারি ডাইজেস্ট, , ,"শামীম হোসেন,রেজাউল ইসলাম,মোঃ মনিরুজ্জামান খান,মোঃ আব্দুর রাজ্জাক,এ এইচ এম মইনুদ্দিন বিসিএস,মেহবুব মোর্শেদ (লিটু) বিসিএস,কামরুল ইসলাম বিসিএস,মোঃ মিজানুর রহমান বিসিএস,মো: মোবারক হোসাইন (শিশির) বিসিএস,মো: আরিফ হাসাইন,মো: রেজাউল হক",অ্যাসিওরেন্স পাবলিকেশন্স, ,"1st Published,2020", ,বাংলাদেশ,বাংলা
অ্যাসিওরেন্স বিসিএস লিখিত সাধারণ বিজ্ঞান ও প্রযুক্তি,মোঃ সাদেকুর রহমান,TK. 950,TK. 665,https://rokomari.com//book/204390/assurance-bcs-likhito-sadharon-biggan-o-projukti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d9211f9a9_204390.jpg,"",অ্যাসিওরেন্স বিসিএস লিখিত সাধারণ বিজ্ঞান ও প্রযুক্তি, , ,"মোঃ সাদেকুর রহমান,কামরুল ইসলাম বিসিএস,সানােয়ারুল হক শাহীন বিসিএস,মামুনুর রশিদ (মামুন) বিসিএস",অ্যাসিওরেন্স পাবলিকেশন্স, ,"Edition,2020", ,বাংলাদেশ,বাংলা
অ্যাসিওরেন্স বিসিএস ভাইবা সহায়িকা প্রশাসন ক্যাডার,মোঃ আবদুর রাজ্জাক ,TK. 320,TK. 214,https://rokomari.com//book/204651/assurance-bcs-vaiba-sohaika-proshason-cadre,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fc8fa30d3_204651.jpg,"",অ্যাসিওরেন্স বিসিএস ভাইবা সহায়িকা প্রশাসন ক্যাডার, , ,"মোঃ আবদুর রাজ্জাক,এ এইচ এম মইনুদ্দিন বিসিএস,মেহবুব মোর্শেদ (লিটু) বিসিএস,কামরুল ইসলাম বিসিএস,মো: মনিরুজ্জান খান,এম আর মুকুল হোসেন বিসিএস",অ্যাসিওরেন্স পাবলিকেশন্স, ,"Edition,2020", ,বাংলাদেশ,বাংলা
অ্যাসিওরেন্স বিসিএস ভাইভা  সহায়িকা,এ এইচ এম মইনুদ্দিন বিসিএস,TK. 350,TK. 245,https://rokomari.com//book/203825/assurance-bcs-viva-shohaeka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ed6944d96_203825.jpg,"",অ্যাসিওরেন্স বিসিএস ভাইভা  সহায়িকা, , ,"এ এইচ এম মইনুদ্দিন বিসিএস,মেহবুব মোর্শেদ (লিটু) বিসিএস,কামরুল ইসলাম বিসিএস,মাহফুজুর রহমান বিসিএস,মোঃ মিজানুর রহমান বিসিএস",Assurance Publications,978984905187,"Edition,2020", ,Bangladesh,Bangla & English
অ্যাসিওরেন্স বিসিএস লিখিত আন্তর্জাতিক বিষয়াবলি,এ এইচ এম মঈনউদ্দিন (সাকিব) বিসিএস,TK. 950,TK. 665,https://rokomari.com//book/203826/assurance-bcs-likhito-antorjatik-bishoyaboli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b440ac3fe_203826.jpg,"",অ্যাসিওরেন্স বিসিএস লিখিত আন্তর্জাতিক বিষয়াবলি, , ,"শামীম হোসেন,কামরুল ইসলাম বিসিএস,মোঃ মিজানুর রহমান বিসিএস,এ এইচ এম মঈনউদ্দিন (সাকিব) বিসিএস,সুফিয়া খাতুন (পিয়া) বিসিএস",অ্যাসিওরেন্স পাবলিকেশন্স, ,"Edition,2020", ,বাংলাদেশ,বাংলা
