Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Six Thinking Hats,এডওয়ার্ড ডে বোনো,"","TK. 1,260",https://rokomari.com//book/167317/six-thinking-hats,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eabc8e490_167317.jpg,"",Six Thinking Hats,Edward De Bono, , ,Back Bay Books (Indian),9780316178310,Revised  edition  1999,192,India,English
Redirect: Changing the Stories We Live By,ড্যানিয়েল গিলবার্ট,"","TK. 2,039",https://rokomari.com//book/175719/redirect--changing-the-stories-we-live-by,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3714f49d0_175719.jpg,"",Redirect: Changing the Stories We Live By,"Daniel Gilbert,Timothy D. Wilson", ,Daniel Gilbert,Back Bay Books (Indian),9780316051903,"Reprint Edition,2015",304,India,English
Ghost in the Wires,কেভিন মিটনিক,"","TK. 1,845",https://rokomari.com//book/172223/ghost-in-the-wires,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Ghost in the Wires,Kevin Mitnick, , ,Back Bay Books (Indian),9780316037723,"1st Edition,2012",448,India,English
The Yellow Birds: A Novel ,কেভিন পাওয়ার্স,"","TK. 1,861",https://rokomari.com//book/170466/the-yellow-birds--a-novel-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/13bfdcad8_170466.jpg,"",The Yellow Birds: A Novel ,Kevin Powers, , ,Back Bay Books (Indian),9780316219341,"Reprint Edition,2013",256,India,English
Presence: Bringing Your Boldest Self to Your Biggest Challenges,অ্যামি কাডি,"","TK. 2,110",https://rokomari.com//book/169935/presence--bringing-your-boldest-self-to-your-biggest-challenges,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/14adee8f1_169935.jpg,"",Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy, , ,Back Bay Books (Indian),9780316256582,"Reprint Edition,2018",352,India,English
The Marshmallow Test: Why Self-Control Is the Engine of Success,ওয়াল্টার মিশেল,"","TK. 1,359",https://rokomari.com//book/164477/the-marshmallow-test--why-self-control-is-the-engine-of-success,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8ac4c2647_164477.jpg,"",The Marshmallow Test: Why Self-Control Is the Engine of Success,Walter Mischel, , ,Back Bay Books (Indian),9781469249087,"Reprint Edition,2015",336,USA,English
The Kingdom of Speech,টম উলফ,"","TK. 1,429",https://rokomari.com//book/165938/the-kingdom-of-speech,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7f7fec468_165938.jpg,"",The Kingdom of Speech,Tom Wolfe, , ,Back Bay Books (Indian),9780316404631,"Reprint Edition,2017",192,India,English
Outliers: The Story of Success,ম্যালকম গ্ল্যাডওয়েল,"","TK. 2,025",https://rokomari.com//book/166416/outliers--the-story-of-success,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e6fc866ba_166416.jpg,"",Outliers: The Story of Success,Malcolm Gladwell, , ,Back Bay Books (Indian),9780316017930,"Reprint edition,2011",336,India,English
The Lovely Bones ,অ্যালিস সিবোল্ড,"","TK. 2,791",https://rokomari.com//book/102429/the-lovely-bones,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150820_102429.gif,"",The Lovely Bones,Alice Sebold, , ,Back Bay Books (Indian),9780316303064,"Reprint Edition,2015",368,India,English
Eating Animals,জোনাথান সাফরান ফোয়ের,"","TK. 1,895",https://rokomari.com//book/126168/eating-animals,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0e97702a0294_126168.jpg,"",Eating Animals,Jonathan Safran Foer, , ,Back Bay Books (Indian),9780316069885,"1st Edition,2010", ,India,English
Frog Music,ইমা ডুনুগুই,"","TK. 2,147",https://rokomari.com//book/126299/frog-music,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/600542bc3df4_126299.jpg,"",Frog Music,Emma Donoghue, , ,Back Bay Books (Indian),9780316324670,"1st Edition,2015", ,India,English
Astray,ইমা ডুনুগুই,"","TK. 2,678",https://rokomari.com//book/126301/astray,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2c242167bd74_126301.jpg,"",Astray,Emma Donoghue, , ,Back Bay Books (Indian),9780316206280,"Reprint edition,2013",304,India,English
Even Dogs in the Wild (A Rebus Novel),আইয়ান রানকিন,"","TK. 1,607",https://rokomari.com//book/131796/even-dogs-in-the-wild--a-rebus-novel-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/de9f32cc63d4_131796.jpg,"",Even Dogs in the Wild (A Rebus Novel),Ian Rankin, , ,Back Bay Books (Indian),9780316342544,"Reprint edition,2016",368,India,English
Saints of the Shadow Bible (Inspector Rebus),আইয়ান রানকিন,"","TK. 2,068",https://rokomari.com//book/131800/saints-of-the-shadow-bible--inspector-rebus-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c317332aeb94_131800.jpg,"",Saints of the Shadow Bible (Inspector Rebus),Ian Rankin, , ,Back Bay Books (Indian),9780316224574,"1st Edition,2015",416,India,English
Standing in Another Man's Grave (A Rebus Novel),আইয়ান রানকিন,"","TK. 1,685",https://rokomari.com//book/131807/standing-in-another-man-s-grave--a-rebus-novel-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fe73ebf76d74_131807.jpg,"",Standing in Another Man's Grave (A Rebus Novel),Ian Rankin, , ,Back Bay Books (Indian),9780316224604,"Reprint edition,2013",432,India,English
The Beat Goes On: The Complete Rebus Stories,আইয়ান রানকিন,"","TK. 1,741",https://rokomari.com//book/131818/the-beat-goes-on--the-complete-rebus-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3e8698d7d1e4_131818.jpg,"",The Beat Goes On: The Complete Rebus Stories,Ian Rankin, , ,Back Bay Books (Indian),9780316296809,"Reprint edition,2016",496,India,English
Resurrection Men (A Rebus Novel),আইয়ান রানকিন,"","TK. 1,640",https://rokomari.com//book/131819/resurrection-men--a-rebus-novel-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1f533b625f64_131819.jpg,"",Resurrection Men (A Rebus Novel),Ian Rankin, , ,Back Bay Books (Indian),9780316099219,"Reprint edition,2010",436,India,English
Astronauts GT Life On Earth,ক্রিস হেডফিল্ড,"","TK. 2,113",https://rokomari.com//book/131957/astronauts-gt-life-on-earth,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c7d5b5f320e4_131957.jpg,"",Astronauts GT Life On Earth,Chris Hadfield, , ,Back Bay Books (Indian),9780316253031,"1st Edition,2015",315,India,English
War and Remembrance,হার্মান উক,"","TK. 1,953",https://rokomari.com//book/134115/war-and-remembrance,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/695cdfaf0904_134115.jpg,"",War and Remembrance,Herman Wouk, , ,Back Bay Books (Indian),9780316954990,"4th Reprint  Edition,2002",1056,India,English
The Winds of War,হার্মান উক,"","TK. 1,888",https://rokomari.com//book/134123/the-winds-of-war,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f1f95e8b12a4_134123.jpg,"",The Winds of War,Herman Wouk, , ,Back Bay Books (Indian),9780316952668,"4th Reprint  Edition,2002",896,India,English
The Caine Mutiny,হার্মান উক,"","TK. 1,609",https://rokomari.com//book/134146/the-caine-mutiny,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4257355e4324_134146.jpg,"",The Caine Mutiny,Herman Wouk, , ,Back Bay Books (Indian),9780316955102,"1st edition,1992", ,India,English
Rise of the Rocket Girls,নাথালিয়া হোল্ট,"","TK. 1,595",https://rokomari.com//book/134688/rise-of-the-rocket-girls,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a4157cc51734_134688.jpg,"",Rise of the Rocket Girls,Nathalia Holt, , ,Back Bay Books (Indian),9780316338905,"Reprint edition,2017",352,India,English
"An Astronaut's Guide to Life on Earth: What Going to Space Taught Me About Ingenuity, Determination, and Being Prepared for Anything",ক্রিস হেডফিল্ড,"","TK. 2,113",https://rokomari.com//book/134691/an-astronaut-s-guide-to-life-on-earth--what-going-to-space-taught-me-about-ingenuity--determination--and-being-prepared-for-anything,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f51588024804_134691.jpg,"","An Astronaut's Guide to Life on Earth: What Going to Space Taught Me About Ingenuity,Determination,and Being Prepared for Anything",Chris Hadfield, , ,Back Bay Books (Indian),9780316253031,"1st Edition,2015",320,India,English
American Dervish: A Novel,আইয়াদ আখতার,"","TK. 2,701",https://rokomari.com//book/154806/american-dervish--a-novel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6ea2ffba2_154806.jpg,"",American Dervish: A Novel,Ayad Akhtar, , ,Back Bay Books (Indian),9780316183307,"Reprint edition,2012",384,India,English
