Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ইসলামী ব্যাংক ব্যবস্থা,ড. মাহফুজুর রহমান,TK. 200,TK. 176,https://rokomari.com//book/153940/islami-bank-babostha--islami-banking-system-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7267b11b9_153940.jpg,"",ইসলামী ব্যাংক ব্যবস্থা,ড. মাহফুজুর রহমান, , ,বাংলাদেশ ইনস্টিটিউট অব ইসলামিক থট (বি.আই.আই.টি),9789848471074,"1st Published,2017",224,বাংলাদেশ,বাংলা
ইসলামে পোশাকের বিধান,মোঃ শামীম আহসান,"",TK. 20,https://rokomari.com//book/153948/islame-poshaker-bidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5a585d06b_153948.jpg,"",ইসলামে পোশাকের বিধান,"মোঃ শামীম আহসান,প্রফেসর ড. জামাল আল বাদাবী",মোঃ শামীম আহসান, ,বাংলাদেশ ইনস্টিটিউট অব ইসলামিক থট (বি.আই.আই.টি),9848203117,"5th Published,2012",16,বাংলাদেশ,বাংলা
নামায পুনরাবিষ্কার,আহমদ বস্‌সাম সায়ী,TK. 200,TK. 150,https://rokomari.com//book/181798/namaz-punorabiskar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/133717802_181798.jpg,"",নামায পুনরাবিষ্কার,আহমদ বস্‌সাম সায়ী,ড. মাহফুজুর রহমান, ,বাংলাদেশ ইনস্টিটিউট অব ইসলামিক থট (বি.আই.আই.টি),9789848471654,"1st Published,2018",146,বাংলাদেশ,বাংলা
ইসলাম ও অর্থনৈতিক উন্নয়ন,মুহাম্মাদ উমর চাপরা,TK. 160,TK. 120,https://rokomari.com//book/128488/islam-o-orthnoitik-unnoyan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d05193aec_128488.jpg,"",ইসলাম ও অর্থনৈতিক উন্নয়ন,মুহাম্মাদ উমর চাপরা,ড. মাহমুদ আহমাদ, ,বাংলাদেশ ইনস্টিটিউট অব ইসলামিক থট (বি.আই.আই.টি),984820326X,"2nd Edition,2010",168,বাংলাদেশ,বাংলা
জ্ঞানের ইসলামায়ন: আন্তর্জাতিক ইসলামী বিশ্ববিদ্যালয় মালয়েশিয়া মডেল,এম রুহুল আমিন,TK. 30,TK. 23,https://rokomari.com//book/153956/the-islamization-and-revitalization-of-theory-and-practice-in-higher-education--the-international-islamic-university--malaysia-as-a-model,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bbb5dd548_153956.jpg,"",জ্ঞানের ইসলামায়ন: আন্তর্জাতিক ইসলামী বিশ্ববিদ্যালয় মালয়েশিয়া মডেল,"এম রুহুল আমিন,আব্দুলহামিদ আহমদ আবুসুলাইমান",এম রুহুল আমিন,এম. জহুরুল ইসলাম,বাংলাদেশ ইনস্টিটিউট অব ইসলামিক থট (বি.আই.আই.টি),9848203482,"2nd Published,2010",47,বাংলাদেশ,বাংলা
নির্মাতাদের দ্বীপ,আব্দুলহামিদ আহমদ আবুসুলাইমান,TK. 120,TK. 90,https://rokomari.com//book/153957/nirmatader-dip--builders-island-for-children-and-adolescents-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/20add3322_153957.jpg,"",নির্মাতাদের দ্বীপ,আব্দুলহামিদ আহমদ আবুসুলাইমান,"মোঃ আতাউর রহমান,ডা. মোহাম্মদ আনোয়ারুল কবীর", ,বাংলাদেশ ইনস্টিটিউট অব ইসলামিক থট (বি.আই.আই.টি),9847010300177,"1st Published,2009",152,বাংলাদেশ,বাংলা
তাওহিদ ও বিজ্ঞান,এমিরেটাস প্রফেসর ড. ওসমান বকর,TK. 400,TK. 300,https://rokomari.com//book/153958/tawhid-o-bigyan--islami-bigyaner-etihash-o-dorshon-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/77dd27b91_153958.jpg,"",তাওহিদ ও বিজ্ঞান,এমিরেটাস প্রফেসর ড. ওসমান বকর,"আবদুল আউয়াল মিয়া,মোহাম্মদ মুসা",প্রফেসর ড. মুঈনুদ্দীন আহমদ খান,বাংলাদেশ ইনস্টিটিউট অব ইসলামিক থট (বি.আই.আই.টি),9789848471548,"2nd Edition,2008",286,বাংলাদেশ,বাংলা
Selections From Akram Khans Tafsirul Quran,এম আকরাম খান,TK. 175,TK. 131,https://rokomari.com//book/154024/selections-from-akram-khans-tafsirul-quran,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f82f8defe_154024.jpg,"",Selections From Akram Khans Tafsirul Quran,M Akram Khan, , ,Bangladesh Institute Of Islamic Thought (BIIT),9847010300160,"1st Published,2009",248,Bangladesh,English
Principles Of Marketing Conventional And Islamic Approach,মোঃ মাহাবুব আলম,TK. 350,TK. 263,https://rokomari.com//book/154001/principles-of-marketing-conventional-and-islamic-approach,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9e6d826a5_154001.jpg,"",Principles Of Marketing Conventional And Islamic Approach,"Md. Mahabub Alam,Md. Rashidul Hasan,Md. Shariful Haque,Mohsina Fatema", , ,Bangladesh Institute Of Islamic Thought (BIIT),9789848471111,"1st Published,2014",208,Bangladesh,English
Islam and Gender : The Bangladesh Perspective,শাহ আবদুল হান্নান,TK. 300,TK. 225,https://rokomari.com//book/154036/islam-and-gender---the-bangladesh-perspective,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6f4186bd8_154036.jpg,"",Islam and Gender : The Bangladesh Perspective,Shah Abdul Hannan, ,"Md. Mahmudul Hasan,Raudah Mohd Yunus",Bangladesh Institute Of Islamic Thought (BIIT),9789848471432,"1st Published,2014",132,Bangladesh,English
