Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
হলুদ পরী,হুমায়ূন আহমেদ,TK. 100,TK. 75,https://rokomari.com//book/1308/holud-pori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/707aee19c904_1308.gif,"ফ্ল্যাপে লিখা কথা
জন্মদিনের শুরুটা হল খুব সুন্দর। ভোরবেলা থেকে সবাই টেলিফোন করছে-হ্যাপি বার্থডে সুমি। শুভ জন্মদিন সুমি। জন্মদিনের শুভেচ্ছা নাও সুমি।

একেবার টেলিফোন আসে আর কী যে ভালো লাগে সুমির! বিকেল থেকেই খালা এবং ফুপুরা আসতে শুরু করলেন। বাড়ি ভর্তি হয়ে গেল মানুষে। কেক কাটা হলো। জন্মদিনের গান গাওয়া গলো। তারপর শুরু হলো জন্মদিনের উপহারের প্যাকেট খোলার পালা।

সুমির বাবা সুন্দর কাগজে মোড়া একটা প্যাকেট দিয়ে বললেন, ‘তোমার হলুদ পরী বাজারে কোথাও খুঁজে পাইনি, তার বদলে নিয়ে এসেছি রিমোট কনট্রোল মোটর কার’।

সুমি বলল, ‘আমি তো সত্যিকারের পরী চেয়েছি।’

‘সত্যিকারের পরী মানে?’

‘যে পরী আকাশে উড়তে পারে। কথা বলতে পারে। গান গাইতে পারে। নাচতে পারে।’",হলুদ পরী,হুমায়ূন আহমেদ, , ,বাংলাপ্রকাশ,9843000005863,"1st Published,2009",16,বাংলাদেশ,বাংলা
বনের রাজা,হুমায়ূন আহমেদ,TK. 100,TK. 75,https://rokomari.com//book/5554/boner-raja,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3eacae711b94_5554.gif,"‘বনের রাজা’ বইয়ের ফ্ল্যাপের কথাঃ
শিয়াল বলল, এই হরিণ, শোনো, 
আমাকে তোমাদের রাজার কাছে নিয়ে
যাও তো । তাঁকে প্রথম একটা সালাম
দিয়ে আসি।
হরিণ অবাক হয়ে বলল, রাজা আবার
কী? 
রাজা আবার কী মানে! এই বনে রাজা
নেই? 
না তো।
রাজা নেই তো বন শাসন করে কে? দুষ্ট
পশুদের শান্তি দেয় কে? অন্য বনের
পশুরা এলে তাদের তাড়িয়ে দেয় কে? 
কেউ দেয় না।
কেউ দেয় না? এ তো দেখি বোকা
পশুদের রাজ্য ছিঃ ছিঃ ছিঃ! অন্য বনের
পশুরা এ খবর জানতে পারলে
তোমাদের লজ্জায় মাথা কাটা যাবে।
তবে আমি যখন এসেছি একটা ব্যবস্থা
করব। তুমি সবাইকে খবর দাও। একটা
সভা হবে।",বনের রাজা,হুমায়ূন আহমেদ, , ,বাংলাপ্রকাশ,9843000005900,"1st Published,2010",16,বাংলাদেশ,বাংলা
ভূত মন্ত্র,হুমায়ূন আহমেদ,TK. 100,TK. 75,https://rokomari.com//book/5553/vut-montro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0bb789bdbba4_5553.gif,"ছেলেটা বাবলুকে বলল, দেখলি দুধ কেমন পেপসি বানিয়ে দিলাম, আজ তোকে একটা মন্ত্র
শিখিয়ে দেব। এই মন্ত্র− ভূত মন্ত্র। মন্ত্র পড়ে ফুঁ দিবি ছোট মাছ হয়ে যাবে মুরগির রান...
আরও কতো কী? এমন মজার মজার কাহিনী নিয়ে ভূত মন্ত্র। বইটি হাতে নিয়েই দেখ!",ভূত মন্ত্র,হুমায়ূন আহমেদ, , ,বাংলাপ্রকাশ,9843000005894,"1st Published,2010",16,বাংলাদেশ,বাংলা
হাজার চুরাশির মা (জ্ঞানপীঠ পুরস্কার এ ভূষিত),মহাশ্বেতা দেবী,TK. 200,TK. 150,https://rokomari.com//book/67639/hazar-churashir-ma,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a7f2997b6_67639.jpg,"ফ্ল্যাপে লেখা কিছু কথা*“সব যেন কীটদষ্ট, ব্যাধিদৃষ্ট, পচাধরা, গলিত ক্যানসার। মৃত সম্পর্কে	র জের টেনে মৃত মানুষেরা বেঁচে থাকার ভান করছে। সুজাতার মনে হল অমিত, নীপা, বলাই এদের গায়ের কাছে গেলেও বোধহয় শবগন্ধ পাওয়া যাবে। এরা ভ্রুণ থেকেই দুষ্ট, দুষিত, ব্যাধিগ্রস্থ। যে সমাজকে ব্রতীরা নিশ্চিহ্ন করতে চেয়েছিল সেই সমাজ বহুজনের ক্ষুধিত অন্ন কেড়ে নিয়ে এদের সযত্নে রাজভোগে লালন করে, বড় করে। সে সমাজ জীবনের অধিকার মৃতদের, জীবিতদের নয়। কিন্তু বলাই কি বলছে? ধীমান কে? ধীমান রায়? যার কথা নন্দিনী বলল? সুজাতা দেখলেন একটি অত্যন্ত ফর্সা	 মেয়ে শালের ম্যাক্‌সি পরে হাতে গেলাস নিয়ে বলাইয়ের কাঁধে হাত রাখল।” তারপর-----? তারপর প্রত্যেকটা সুখী-অস্তিত্বের সুখ ছিঁড়ে বেরিয়ে আসা এক ধ্রুব সত্যকে জানতেই হাজার চুরাশির মা; লেখকের শতাধিক বইয়ের মধ্যে অন্যতম একটি বই।",হাজার চুরাশির মা (জ্ঞানপীঠ পুরস্কার এ ভূষিত),মহাশ্বেতা দেবী, , ,বাংলাপ্রকাশ,9843000007317,"3rd Edition,2018",118,বাংলাদেশ,বাংলা
যৌনকর্মীর জীবন,বনানী বিশ্বাস,TK. 350,TK. 263,https://rokomari.com//book/59088/jounokormir-jibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_59088.GIF,"ফ্ল্যাপে লেখা কিছু কথাবধূ এবং বারাঙ্গনা বিভাগের উপর দাঁড়িয়ে আছে সমাজ। সব যুগে, সভ্যতায়, যৌনকর্মীদের নিন্দা করা হয়েছে। আবার তাদের প্রতি মুগ্ধতারও অভাব নেই সাহিত্যে। অথচ যৌনপেশায় নিযুক্ত যৌনকর্মীদের দৈনন্দিন জীবন, কাজের পরিবেশ, পারিবারিক সুখ-দুঃখের সম্পর্কে জানা যায় খুব সামান্যই। তাদের জীবন থেকে যায় আলো-আঁধারিতে। এ বই সে অপূর্ণতা দূর করবে। প্রাচীন শাস্ত্র থেকে আধুনিক সমীক্ষা, ইতিহাসের বই থেকে মুখে মুখে বাঁধা ছড়া, বিভিন্ন সূত্র থেকে আহরিত তথ্য রয়েছে এ বইয়ে। যৌনপল্লীর মেয়ে-পুরুষ, হিজড়া, পুরুষ যৌনকর্মী, ভাসমান যৌনকর্মী-সব শ্রেণীর যৌনকর্মীর জীবনযাত্রার বিবরণ দেওয়া হয়েছে বইতে। সেই সঙ্গে রয়েছে অনুসন্ধান-কেন নারী-পুরুষ-শিশু আসে এই পেশায়। সমাজ বিজ্ঞানীর সমীক্ষা ও বিশ্লেষণের সঙ্গে যোগ হয়েছে ইতিহাস, সাহিত্য, সংস্কৃতির নিরীক্ষা। বৃটিশ যুগে যৌনবৃত্তির নিয়ন্ত্রন থেকে আজকের যৌনবৃত্তির আইন, রাষ্ট্রের বিধি-নিষেধের ফাঁক থেকে যাচ্ছে কোথায়? তারও বর্ণনা রয়েছে। আর রয়েছে যৌনকর্মীদের কথায় তাদের জীবন কাহিনি।							সূচিপত্র*প্রাচীন যুগে যৌনবৃত্তির ইতিহাস*ব্রিটিশ শাসনামলে যৌনবৃত্তির ইতিহাস*শতবর্ষ পূর্বে যৌনকর্মীর জীবন*বাংলা গানে গণিকারা অথবা রবীন্দ্রনাথের গান ও গণিকারা*রাষ্ট্র ও পতিতাবৃত্তি*যৌনব্যবসায় মেয়েরা কেন আসে*পতিতাবৃত্তি সম্পর্কিত কতিপয় আইন ও কিছু কথা*যৌনকর্মীর প্রকারভেদ*যৌনকর্মীর প্রাত্যহিক জীবন*ঢাকা শহরের যৌনকর্মীর অবস্থা*যৌনপল্লীতে কাজের মেয়েদের কাহিনি*কতিপয় যৌনরোগ ও চিকিৎসা*বাবুদের যত কথা*পুরুষের বেশ্যাবৃত্তি*যৌনপল্লী উচ্ছেদ*কেস স্টাডি*মুখোমুখি*জয়া সিকদার*ডা. নজরুল ইসলাম",যৌনকর্মীর জীবন,বনানী বিশ্বাস, , ,বাংলাপ্রকাশ,9843000006907,"1st Published,2013",263,বাংলাদেশ,বাংলা
মহানবী (স.) এবং অন্ধ লোকটি,সানিয়াসনাইন খান,TK. 100,TK. 75,https://rokomari.com//book/53281/mohanobi--s---abong-ondu-lokti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_53281.gif,"""মহানবী (স.) এবং অন্ধ লোকটি"" বইয়ের পিছনের কভারের লেখা:

মহানবী (স.) এবং অন্ধ লােকটি ছােটদের জন্য কুরআনের গল্প পবিত্র কুরআন পূর্ণ আবেগময় কাহিনী, রােমাঞ্চকর অভিযান এবং শিক্ষা ও প্রার্থনায় পরিপূর্ণ একটি গ্রন্থ, যা আমাদের প্রতি আল্লাহর ভালােবাসা প্রকাশ করে এবং বান্দা হিসাবে স্রষ্টার প্রতি আমাদের পূর্ণ আন্তরিকতা প্রকাশের দাবি জানায়। কুরআনের মরমী কাহিনীগুলাে পড়ে যাতে আমাদের শিশু-কিশােরেরা অনুপম শিক্ষা ও চরিত্র গঠনের মাধ্যমে কুরআন-প্রদর্শিত সত্য ও ন্যায়ের পথ অনুসরণ করতে পারে, সেই উদ্দেশ্যকে সামনে রেখে ‘ছােটদের জন্য কুরআনের গল্প' সিরিজের অন্তর্গত ‘মহানবী (স.) এবং অন্ধ লােকটি' বইটি প্রকাশ করা হলাে।
শিশু-কিশােরদের উপযােগী, সাবলীল অথচ হৃদয়স্পর্শী ভাষায় লেখা এবং সুন্দর অলংকরণের সমম্বয়ে এ বই বয়স-নির্বিশেষে সকলকেই মুগ্ধ করবে বলে আশা রাখি। পবিত্র কুরআন থেকে চয়িত এ কাহিনীটি মহানবী (স.) ও একজন অন্ধ লােকের বৃত্তান্ত অত্যন্ত মর্মস্পর্শী ভাষায় বর্ণিত হয়েছে।",মহানবী (স.) এবং অন্ধ লোকটি,সানিয়াসনাইন খান,মোঃ মমিনুল হক মুক্ত, ,Banglaprokash,9843000005368,"1st Published,2009",24,Bangladesh,Bangla & English
সোনামণিদের জন্য প্রয়োজনীয় দোয়া,সানিয়াসনাইন খান,TK. 100,TK. 75,https://rokomari.com//book/53295/sonamonider-jonno-projoniyo-dowa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_53295.GIF,"",সোনামণিদের জন্য প্রয়োজনীয় দোয়া,সানিয়াসনাইন খান,আবু সালেহ মোঃ মুসা, ,Banglaprokash,9843000006167,"2nd Printed,2014",24,Bangladesh,Bangla & English
পুত্রের প্রতি লোকমানের উপদেশ,আশরাফুল আলম পিনটু,TK. 60,TK. 45,https://rokomari.com//book/53283/putrar-proti-lokmaner-upodesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_53283.GIF,"""পুত্রের প্রতি লোকমানের উপদেশ""বইটির শেষের ফ্লাপের কিছু কথা:


পুত্রের প্রতি লােকমানের উপদেশ ছােটদের জন্য কুরআনের গল্প পবিত্র কুরআন পূর্ণ আবেগময় কাহিনী, রােমাঞ্চকর অভিযান এবং শিক্ষা ও প্রার্থনায় পরিপূর্ণ একটি গ্রন্থ, যা আমাদের প্রতি আল্লাহর ভালােবাসা প্রকাশ করে এবং বান্দা হিসাবে স্রষ্টার প্রতি আমাদের পূর্ণ আন্তরিকতা প্রকাশের দাবি জানায়। কুরআনের মরমী কাহিনীগুলাে পড়ে যাতে আমাদের শিশু-কিশােরেরা অনুপম শিক্ষা ও চরিত্র গঠনের মাধ্যমে কুরআন-প্রদর্শিত সত্য ও ন্যায়ের পথ অনুসরণ করতে পারে, সেই উদ্দেশ্যকে সামনে রেখে ‘ছােটদের জন্য কুরআনের গল্প' সিরিজের অন্তর্গত ‘পুত্রের প্রতি লােকমানের উপদেশ’ বইটি প্রকাশ করা হলাে।
শিশু-কিশােরদের উপযােগী, সাবলীল অথচ হৃদয়স্পর্শী ভাষায় লেখা এবং সুন্দর অলংকরণের সমন্বয়ে এ বই বয়স-নির্বিশেষে সকলকেই মুগ্ধ করবে বলে আশা রাখি। পবিত্র কুরআন থেকে চয়িত এ কাহিনীটি লােকমান তাঁর ছেলেকে উপদেশ দেওয়ার বৃত্তান্ত অত্যন্ত মর্মস্পর্শী ভাষায় বর্ণিত হয়েছে ।",পুত্রের প্রতি লোকমানের উপদেশ,"আশরাফুল আলম পিনটু,সানিয়াসনাইন খান",আশরাফুল আলম পিনটু, ,Banglaprokash,984300005474,"1st Published,2009",24,Bangladesh,Bangla & English
উজাইরের গাধা,আহমেদ রিয়াজ,TK. 100,TK. 75,https://rokomari.com//book/53280/ujairer-gadha--chotoder-jonyo-quraner-golpo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6ad1f864e_53280.jpg,"""উজাইরের গাধা"" বইয়ের পেছনের কভারের লেখা:

ছােটোদের জন্য কুরআনের গল্প পবিত্র কুরআন পূর্ণ আবেগময় কাহিনি, রােমাঞ্চকর অভিযান এবং শিক্ষা ও প্রার্থনায় পরিপূর্ণ একটি গ্রন্থ; যা আমাদের প্রতি আল্লাহর ভালােবাসা প্রকাশ করে এবং বান্দা হিসেবে স্রষ্টার প্রতি আমাদের পূর্ণ আন্তরিকতা ও আনুগত্য প্রকাশের দাবি জানায়। কুরআনের মরমি কাহিনিগুলাে পড়ে যাতে আমাদের শিশু-কিশােরেরা অনুপম শিক্ষা ও চরিত্র গঠনের মাধ্যমে কুরআন-প্রদর্শিত সত্য ও ন্যায়ের পথ অনুসরণ করতে পারে, সেই উদ্দেশ্যকে সামনে রেখে ছােটোদের জন্য কুরআনের গল্প সিরিজের অন্তর্গত উজাইরের গাধা বইটি প্রকাশ করা হলাে।",উজাইরের গাধা,"আহমেদ রিয়াজ,সানিয়াসনাইন খান",আহমেদ রিয়াজ, ,বাংলাপ্রকাশ,9843000005429,"1st Published,2009",24,বাংলাদেশ,বাংলা
আলেকজান্ডার দ্য গ্রেট,আহমেদ রিয়াজ,TK. 150,TK. 113,https://rokomari.com//book/5571/alekjender-the-great,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/274ef7eaf_5571.jpg,"বিশ্বজয়ী বীর আলেকজান্ডারের জীবনের নানা ঘটনা, বীরত্বপূর্ণ যুদ্ধাভিযান এবং বিভিনড়ব
ভাষা-ধর্ম-সংস্কৃতিতে তাঁর অবস্থান সম্পর্কে সুন্দর সাবলীল ভাষায় বর্ণনা রয়েছে
আলেকজান্ডার দ্য গ্রেট বইটিতে।",আলেকজান্ডার দ্য গ্রেট,আহমেদ রিয়াজ, , ,বাংলাপ্রকাশ,9843000005627,"3rd printed,2014",96,বাংলাদেশ,বাংলা
