Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"সংবিধান, সাংবিধানিক আইন ও রাজনীতি: বাংলাদেশ প্রসঙ্গ",ব্যারিস্টার মোঃ আব্দুল হালিম,TK. 650,TK. 423,https://rokomari.com//book/202792/songbidan--sangbidanik-ayin-o-rajniti---bangladesh-prosongo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d24bd199f_202792.jpg,"","সংবিধান,সাংবিধানিক আইন ও রাজনীতি: বাংলাদেশ প্রসঙ্গ",ব্যারিস্টার মোঃ আব্দুল হালিম, , ,বীকন পাবলিকেশন্স, ,"New Edition,2020", ,বাংলাদেশ,বাংলা
The Legal System of Bangladesh,মোঃ আব্দুল হালিম,TK. 500,TK. 375,https://rokomari.com//book/82361/the-legal-system-of-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f0621434f_82361.jpg,"",The Legal System of Bangladesh,Md. Abdul Halim, , ,Beacon Publications,9789849500216,"9th Edution,October 2020",480,Bangladesh,English
জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান শৈশব ও কৈশোর,গাজী সাইফুল হাসান,TK. 120,TK. 90,https://rokomari.com//book/208481/jatir-pita-bangabandhu-shekh-mujibur-rahman-shoishob-o-koishor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4982d07b1_208481.jpg,"",জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান শৈশব ও কৈশোর,গাজী সাইফুল হাসান, , ,বীকন পাবলিকেশন্স, ,"1st Published,2021", ,বাংলাদেশ,বাংলা
বাংলাদেশ এ্যাডভোকেটশিপ মৌখিক (ভাইভা) পরীক্ষা হ্যান্ডবুক,ব্যারিস্টার মোঃ আব্দুল হালিম,TK. 500,TK. 325,https://rokomari.com//book/202778/bangladesh-advocateship-moukhik--viva--porikkha-handbook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f5b1ea33f_202778.jpg,"",বাংলাদেশ এ্যাডভোকেটশিপ মৌখিক (ভাইভা) পরীক্ষা হ্যান্ডবুক,ব্যারিস্টার মোঃ আব্দুল হালিম, , ,বীকন পাবলিকেশন্স,9789843487544,"New Edition,2020", ,বাংলাদেশ,বাংলা
Handbook on Advocateship Examination ,ব্যারিস্টার মোঃ আব্দুল হালিম,TK. 600,TK. 390,https://rokomari.com//book/202796/handbook-on-advocateship-examination,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3d2cccfe5_202796.jpg,"",Handbook on Advocateship Examination,Barrister Md. Abdul Halim, , ,Beacon Publications, ,"New Edition,2020", ,Bangladesh,English
Textbook on Bangladesh Labour Code ,ব্যারিস্টার মোঃ আব্দুল হালিম,TK. 450,TK. 293,https://rokomari.com//book/202795/textbook-on-bangladesh-labour-code,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d6b520df6_202795.jpg,"",Textbook on Bangladesh Labour Code,Barrister Md. Abdul Halim, , ,Beacon Publications, ,"New Edition,2020", ,Bangladesh,English
বাংলাদেশ এ্যাডভোকেটশিপ পরীক্ষা হ্যান্ডবুক,ব্যারিস্টার মোঃ আব্দুল হালিম,TK. 650,TK. 423,https://rokomari.com//book/202797/bangladesh-advocateship-exam-handbook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/21f81afcc_202797.jpg,"",বাংলাদেশ এ্যাডভোকেটশিপ পরীক্ষা হ্যান্ডবুক,ব্যারিস্টার মোঃ আব্দুল হালিম, , ,বীকন পাবলিকেশন্স, ,"New Edition,2020", ,বাংলাদেশ,বাংলা
জমিজমার আইন-কানুন ও সংশ্লিষ্ট আইন,মুহাম্মদ মাহবুবুল আলম,TK. 850,TK. 468,https://rokomari.com//book/202779/jomijomar-ain-kanun-o-songshlishto-ain,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1fc715986_202779.jpg,"",জমিজমার আইন-কানুন ও সংশ্লিষ্ট আইন,মুহাম্মদ মাহবুবুল আলম, , ,বীকন পাবলিকেশন্স, ,"New Edition,2020", ,বাংলাদেশ,বাংলা
Handbook on Enrolment Examination High Court Division (Viva Voce),মোঃ আব্দুল হালিম,TK. 250,TK. 163,https://rokomari.com//book/202660/handbook-on-enrolment-examination-high-court-division--viva-voce-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0b6d3f2ee_202660.jpg,"",Handbook on Enrolment Examination High Court Division (Viva Voce),Md. Abdul Halim, , ,Beacon Publications, , , ,Bangladesh,English
The Law on Limitation and Prescription in Bangladesh,ব্যারিস্টার মোঃ আব্দুল হালিম,TK. 350,TK. 228,https://rokomari.com//book/202794/the-law-on-limitation-and-prescription-in-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a10932ea6_202794.jpg,"",The Law on Limitation and Prescription in Bangladesh,Barrister Md. Abdul Halim, , ,Beacon Publications, ,"New Edition,2020", ,Bangladesh,English
