Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অঙ্ক জয়ের মন্ত্র,সৌভাগ্য জুবেরী,TK. 350,TK. 263,https://rokomari.com//book/177871/onko-joyer-montro--goniter-gobeshona-mulok-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/45b4db2cd_177871.jpg,"অঙ্ক জয়ের মন্ত্র একটি গবেষণামূলক বই। লেখক দীর্ঘ দশ বছর গবেষণা করে পাঠকের জন্য নিয়ে এসেছেন কিছু ব্যক্তিগত অভিমত, গণিতের রহস্য ও মজার কিছু তথ্য। আমরা কিভাবে এক হাজার বছরের ক্যালেন্ডার তৈরী করবাে বা জন্মসাল বের করবাে সবই এই বইয়ে উপস্থাপন করেছেন। পাঠক মজা নিতে নিতে অনেক কিছু শিখতে পারবে এই বই থেকে। এমন বই সারা দুনিয়ায় খুব কমই আছে। এই বইটি পাঠ করলে গণিতের এক নতুন জগৎ তৈরী হবে সকলের।",অঙ্ক জয়ের মন্ত্র,সৌভাগ্য জুবেরী, , ,বিবর্তন প্রকাশনী,9789849249009,"1st Published,2019",144,বাংলাদেশ,বাংলা
অপেক্ষা,সেলিনা হোসেন,TK. 220,TK. 165,https://rokomari.com//book/197258/opekkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d317c46e5_197258.jpg,"",অপেক্ষা,সেলিনা হোসেন, , ,বিবর্তন প্রকাশনী,9789849442806,"1st Published,2020",96,বাংলাদেশ,বাংলা
মহাকাশ ও সবুজের বিস্ময় (বিজ্ঞান ভিত্তিক গবেষণাধর্মী লেখা),সাকীব আদনান,TK. 180,TK. 135,https://rokomari.com//book/177862/mohakash-o-sobujer-bishay--biggan-vittik-gobeshonadhormi-lekha-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a118d674e_177862.jpg,"",মহাকাশ ও সবুজের বিস্ময় (বিজ্ঞান ভিত্তিক গবেষণাধর্মী লেখা), , ,সাকীব আদনান,বিবর্তন প্রকাশনী,9789849249047,"1st Published,2019",48,বাংলাদেশ,বাংলা
রানাপ্লাজার পূর্ণগ্রাস,লুৎফন নাহার কল্পনা,TK. 250,TK. 188,https://rokomari.com//book/196341/ranaplazar-purnogras,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ac7aaa36e_196341.jpg,"",রানাপ্লাজার পূর্ণগ্রাস,লুৎফন নাহার কল্পনা, , ,বিবর্তন প্রকাশনী,9789849333593,"1st Published,2020",216,বাংলাদেশ,বাংলা
নির্ঘুম ৬৩৭৭ ঘন্টা (৭১ এর গেরিলা কাহিনী),"লেঃ কর্ণেল এম এম ইকবাল আলম, পিএসসি (অবঃ)",TK. 400,TK. 300,https://rokomari.com//book/177898/nirghum-6377-ghonta--71-er-gerila-kahini-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bf0a9f5f0_177898.jpg,"",নির্ঘুম ৬৩৭৭ ঘন্টা (৭১ এর গেরিলা কাহিনী),"লেঃ কর্ণেল এম এম ইকবাল আলম,পিএসসি (অবঃ)", , ,বিবর্তন প্রকাশনী,9789849313373,"1st Published,2018",208,বাংলাদেশ,বাংলা
ভয়াল আর্তনাদ,আঞ্জুমান আরা রীমা,TK. 250,TK. 188,https://rokomari.com//book/178690/voyal-artonad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c0680ef40_178690.jpg,"",ভয়াল আর্তনাদ,আঞ্জুমান আরা রীমা, , ,বিবর্তন প্রকাশনী,9789849313427,"1st Published,2019",120,বাংলাদেশ,বাংলা
অনুরাগে নিশিকাব্য,আঞ্জুমান আরা রীমা,TK. 50,TK. 38,https://rokomari.com//book/181033/onurage-nishikabbo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ac946477d_181033.jpg,"",অনুরাগে নিশিকাব্য,আঞ্জুমান আরা রীমা, , ,বিবর্তন প্রকাশনী,9789849313472,"1st Published,2019",48,বাংলাদেশ,বাংলা
এলোমেলো ভাবনা,সালাহউদ্দীন নোমান,TK. 180,TK. 135,https://rokomari.com//book/180858/elomelo-vabona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9bb6bb9fb_180858.jpg,"",এলোমেলো ভাবনা, , ,"হাবিবুছ সাকেরীন,সালাহউদ্দীন নোমান",বিবর্তন প্রকাশনী,9789849313410,"1st Published,2019",80,বাংলাদেশ,বাংলা
এলোমেলো ষোলো,সানজানা জাহাঙ্গীর,TK. 280,TK. 210,https://rokomari.com//book/197266/elomelo-sholo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/239bf6195_197266.jpg,"",এলোমেলো ষোলো, , ,সানজানা জাহাঙ্গীর,বিবর্তন প্রকাশনী,978984933548,"1st Published,2020",160,বাংলাদেশ,বাংলা
অসম কথন,আবদুল্লাহ আল মামুন-২,TK. 270,TK. 203,https://rokomari.com//book/211683/osom-kothon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4b949fbcd_211683.jpg,"",অসম কথন,আবদুল্লাহ আল মামুন-২, , ,বিবর্তন প্রকাশনী,9789849531319,"1st Published,2021",104,বাংলাদেশ,বাংলা
