Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
দ্য লাস্ট ওডেসি,জেমস রলিন্স,"",TK. 450,https://rokomari.com//book/202001/the-last-odyssey,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e984594a8_202001.jpg,"বিশ্বখ্যাত দুই মহাকাব্য—ইলিয়াড এবং ওডেসি। এই দুই মহাকাব্যের কতটুকু ইতিহাস-নির্ভর? আর কতটুকুর জন্ম হয়েছে মানব কল্পনার গহীন থেকে?
যদি কল্পনাই হয়ে থাকে, তাহলে কেন বরফের রাজ্যে আটকা পড়া আরব বজরায় পুরাণের দানোদের হাতে খুন হতে হবে একজন বিজ্ঞানীকে?
যদি বাস্তব হয়, তাহলে কোথায় সেই সাইক্লপস? কোথায় সারবেরাস? মিনেটর? অন্য সব দানো?
বজরা-রহস্য সমাধানে গ্রিনল্যান্ডে গিয়ে অপহৃত হলো ড. ইলেনা কারগিল। আরেকটা পরিচয় আছে ওর—সে সিনেটর কারগিলের মেয়ে।
বান্ধবীকে উদ্ধার করতে সেখানে পা রাখল মারিয়া, সঙ্গে কোয়ালস্কি। ওদের সঙ্গে যোগ দিল গ্রে এবং শেইচানও।
বনু মুসা নামের রহস্যময় এক সঙ্ঘ দেখা দিল দৃশ্যপটে। ওদের ধারণা-ওডিসিয়াসে বর্ণিত গল্পের অনেকটাই সত্যি। মহাপ্রলয়কে ত্বরান্বিত করার মানসে সেই দানবদেরকে হাতে পেতে চায় তারা।
মুখোমুখি দুই আদর্শ নিয়ে খাড়া হলো সিগমা আর বনু মুসা।
কিন্তু গ্রেরা জানে না, এই নাটকের রয়েছে আরো অনেক কুশীলব।
টারটারাস কি সত্যি? নাকি হোমারের কল্পনা?
সেই প্রশ্নের উত্তর লেখা আছে দ্য লাস্ট ওডিসির পাতায়।",দ্য লাস্ট ওডেসি,জেমস রলিন্স, ,মোঃ ফুয়াদ আল ফিদাহ,বিবলিওফাইল প্রকাশনী,9789843481818,"1st Published,2020",450,বাংলাদেশ,বাংলা
আমাদের মেঘবাড়ি,মৌলী আখন্দ,"",TK. 200,https://rokomari.com//book/205165/amader-meghbari,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05e61d8c2_205165.JPG,"আমাদের মেঘবাড়ি 
‘আর ওই পেছনে দেখ, কেমন জমাট বেঁধে আছে তুলোর মতো! মনে হচ্ছে মেঘের উপর একটা প্রাসাদ!’
‘ওই প্রাসাদে কারা থাকে, আম্মু?’
‘পরীরা থাকে...আর তোমার মতো পরীর বাচ্চারা থাকে।’
লামিয়া মুখে আঙুল দিয়ে কিছুক্ষণ ভেবে বলল, ‘ওখানে কি আমরা যেতে পারব, আম্মু?’
মীরা নিচু হয়ে লামিয়ার গালে চুমু খেয়ে বলল, ‘নিশ্চয়ই যেতে পারব, মা। যখন তুমি অনেক বড় হবে, তোমার যখন দুটো পাখা হবে, তখন তুমি উড়ে উড়ে ওই মেঘের ওপর বাড়িটাতে উড়ে চলে যেতে পারবে!’
‘তখন ওটা আমাদের বাড়ি হবে?’
‘হ্যাঁ, আম্মু! আমাদের মেঘবাড়ি!’
প্রতিটি মানুষই শৈশবে অযুত নিযুত স্বপ্ন নিয়ে জীবন শুরু করে। মীরাও করেছিল। শ্যামাঙ্গী, নতমুখী, শান্ত মেয়ে মীরা। ব্রোকেন ফ্যামিলির সন্তান মীরা। জীবনের কাছে, বাস্তবতার কাছে পরাজিত মীরা।
জীবন মীরার প্রতি সুবিচার করেনি। এ নিয়ে প্রতিবাদে মুখর হওয়ার মতো, নিজের অবস্থান পরিবর্তন করার জন্য লড়াই করার শক্তিও তার নেই। তবে জীবনের এক পর্যায়ে এসে নিজের সন্তানের সামনে দাঁড়িয়ে মীরা ভাবে: সে কি তার সন্তানের সামনে মুখ বুজে অন্যায় মেনে নেওয়ার, সহ্য করে যাওয়ার উদাহরণ তৈরি করে রেখে যাচ্ছে না?
সব মানুষই গোপনে এমন একটা আকাশ খুঁজে বেড়ায়, যেখানে তার স্বপ্নগুলো ডানা মেলে উড়ে বেড়াতে পারে! যারা খুঁজে পায়...তারা ভাগ্যবান... ...আর যারা পায় না, তাদের মতো দুর্ভাগা আর নেই।
‘আমাদের মেঘবাড়ি’ আত্ম-অনুসন্ধানের গল্প। নিজেকে হারিয়ে আবার খুঁজে পাওয়ার গল্প। হার না মেনে ঘুরে দাঁড়ানোর গল্প, উঠে দাঁড়ানোর গল্প। সাধারণ কারো অসাধারণ হয়ে ওঠার গল্প। এই গল্প একই সাথে ভালোবেসে দূরে যাওয়ার আর ফিরে আসার, এই গল্প হেরে গিয়ে জিতে যাওয়ার, সব স্বপ্ন ভেঙে-চুরে চুরমার হয়ে যাওয়ার পর নতুন করে জোড়া দেওয়ার।",আমাদের মেঘবাড়ি,মৌলী আখন্দ, , ,বিবলিওফাইল প্রকাশনী,9789849505204,"1st Published,2020",158,বাংলাদেশ,বাংলা
অহিংশের খেল,মোঃ ফুয়াদ আল ফিদাহ,"",TK. 200,https://rokomari.com//book/194422/ahinsher-khel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/393fcc42b_194422.jpg,"অঙ্গভ্রম:

কক্সবাজারের রহস্যঘেরা এক রিসোর্টের হ্যানিমুন স্যুইটে পাওয়া গেল একটা লাশ। বড় অদ্ভুত সেই হত্যাকান্ড, ছুটি কাটাতে কক্সবাজার এসে কীভাবে কীভাবে যেন তার সঙ্গে জড়িয়ে পড়ল রাফসান ইবনে সেলিম।
অতিরিক্ত রক্তক্ষরণে মৃত্যু হয়েছে লোকটির। কিন্তু তার চাইতে অদ্ভুত ব্যাপার-লাশের পাশে পড়ে আছে একটি কাটা পা!
কেন খুন হতে হলো তাকে? প্রখ্যাত এক এন.জি.ও.এর কর্মকর্তা ছিল ভিক্টিম, সেই সংস্থা সংক্রান্ত কিছু কি?
নাকি ব্যাপারটা মাদক সম্পর্কিত?
রহস্যের জাল ছিঁড়তে উঠে-বসে লাগল রাফসান।

নিঠুর খেলা:
বসের চাপে পড়ে রাজি হয়ে গেল সাব্বির। পরামর্শক হিসেবে যাবে ও গাজিপুর; বাজ মাল্টিমিডিয়ার নতুন ছবি ‘নিঠুর খেলা’-এর, পুলিসি কর্মকাণ্ডগুলোর ব্যাপারে দেবে গুরুত্বপূর্ণ পরামর্শ।
তবে এই রাজি হবার পেছনে রয়েছে আরও কারণ।
জীবন থেমে থাকে না। তাই ডন ওয়াসার পর শিকদার হয়ে এখন অপরাধ জগতের হর্তা-কর্তা হয়েছে ‘কান কাটা ফারুক’, ধারণা করা হয় যে অহিংশের সরাসরি লোক সে। সেই কান কাটা ফারুকের সংশ্লিষ্টতা আছে এতে।
সেটে গিয়ে জানতে পারল সাব্বির-খুন হয়ে গিয়েছে ওর আগে পরামর্শক হিসেবে নিয়োগ পাওয়া এক পুলিস অফিসার। খুনি সম্ভবত এই প্রোডাকশনের কেউ।
একদিকে কান কাটা ফারুককে পাকড়াও করা, অন্য দিকে আইনের আওতায় আনা খুনিকে...
দুটোই পারতে হবে...
খুনি কিংবা অহিংশ, কাউকেই ছাড় দেবে না সাব্বির।",অহিংশের খেল,মোঃ ফুয়াদ আল ফিদাহ, , ,বিবলিওফাইল প্রকাশনী,9789843484758,"1st Print,2020",160,বাংলাদেশ,বাংলা
চন্দ্রাহত,মোঃ ফুয়াদ আল ফিদাহ,"",TK. 360,https://rokomari.com//book/194421/chondrahoto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/968b84201_194421.jpg,"বিশ্ব স্বাস্থ্য সংস্থার বাৎসরিক সম্মেলনের ঠিক দুই দিন আগে মারা গেল তরুণ বাঙ্গালি বিজ্ঞানী উমা চক্রবর্তী। মৃত্যুর কয়েকদিন আগেই সে জানিয়েছিল, চিকিৎসা ব্যবস্থাকে পাল্টে দেবার মতো এক আবিষ্কার করেছে। খুন কি হতে হলো সেজন্যই? 
ঘটনাচক্রে জড়িয়ে পড়ল বর্তমানে নামকরা এক গবেষণা সংস্থার সাথে জড়িত থাকা রাফসান ইবনে সেলিম। উমা চক্রবর্তীর বান্ধবী, নিয়তিকে নিয়ে শতাব্দী পুরাতন, কিন্তু প্রায় অজানা এক কিংবদন্তির পেছনে ছুটে পাড়ি জমাল সুন্দরবনে। উমার হত্যাকারীকে পাকড়াও করলেই হবে না, সেই সাথে পুন:আবিষ্কার করতে হবে সেই সঞ্জীবনী ওষুধটাও। 
এদিকে দুই বিজ্ঞানীর পেছনে লেগেছে রহস্যময় এক সংঘটন-অহিংশ। লেলিয়ে দিয়েছে তাদের নৃশংস আততায়ীকে। 
কেঁচো খুঁজতে গিয়ে বেরিয়ে এলো সাপ! 
বাংলাদেশের বুকে মঞ্চায়িত হচ্ছে শুভ আর অশুভের দ্বন্দ্ব!",চন্দ্রাহত,মোঃ ফুয়াদ আল ফিদাহ, , ,বিবলিওফাইল প্রকাশনী,9789843484741,"1st Print,2020",272,বাংলাদেশ,বাংলা
আগাথা ক্রিস্টি সমগ্র ২,আগাথা ক্রিস্টি,"",TK. 540,https://rokomari.com//book/205163/agatha-christie-somogro-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fef522bf9_205163.JPG,"আগাথা ক্রিস্টি সমগ্র ২
দ্য মার্ডার অন দ্য লিঙ্কস (অনু. মো. ফুয়াদ আল ফিদাহ):
সাহায্যের আবেদন শুনে ফ্রান্সে ছুট লাগালেন পোয়ারো। কিন্তু তিনি পৌঁছতে পৌঁছতে দেরি হয়ে গেছে অনেক, খুন হয়ে গেছেন আর মক্কেল; তার লাশ পড়ে আছে গলফ কোর্সের অগভীর এক কবরে।
কিন্তু মানুষটার পরনে কেন তার ছেলের ওভারকোট? সেই কোটের পকেটে থাকা চিঠিটা কার? এসব প্রশ্নের উত্তর খুঁজে বের করার আগেই, আরেকটা সমস্যায় পড়লেন পোয়ারো...
...হুবহু একই রকম আরেকটা লাশ আবিষ্কৃত হয়েছে যে!
দ্য থ্রি অ্যাক্ট ট্রাজেডি (অনু. মারুফ হোসেন):
আনন্দঘন এক ডিনার পার্টিতে এসে মারা গেলেন একজন যাজক! তেরোজন অভ্যাগত এসেছেন বিশিষ্ট অভিনেতার বাড়িতে। বিশেষ এই সন্ধ্যা অশুভ হয়ে দেখা দিল শান্ত স্বভাবের যাজক, স্টিফেন ব্যাবিংটনের জীবনে। ককটেল কিন্তু মার্টিনির গ্লাসটা পরীক্ষায় পাঠিয়ে জানা গেল-বিষের ছিটেফোঁটাও নেই এখানে...
...ঠিক যেমনটা আন্দাজ করেছিলেন পোয়োরা।
তারচেয়ে বড় ব্যাপার, খুনের পেছনে আপাতদৃষ্টিতে নেই কোনো মোটিভ।
তাহলে কার হাতে...এবং কেন খুন হতে হলো যাজককে?
দ্য হলো (অনু. মো. ফুয়াদ আল ফিদাহ):
লুসি অ্যাঙ্গকাটেলের আমন্ত্রণে সাড়া দিয়ে লাঞ্চে এলেন এরকুল পোয়ারো। বিখ্যাত গোয়েন্দাকে খোঁচাবার জন সুইমিং পুলের পাশে নকল হত্যাকাণ্ড ঘটাল তার অতিথিরা। কিন্তু আফসোস, একদম বাস্তবে পরিণত হলো সেই নাটক। রক্ত মিশে যাচ্ছে পানিতে, এমন সময় শেষ শব্দটি উচ্চারণ করল জন ক্রিস্টো: হেনরিয়েটা।
প্রেমের জালের এক জটিল জটলায় ফেঁসে গেলেন পোয়ারো। মনে হচ্ছে, এই নাটকের সব কুশীলবই সন্দেহভাজন, এবং প্রত্যেকে শিকার প্রেমের যাতনার!",আগাথা ক্রিস্টি সমগ্র ২,আগাথা ক্রিস্টি, ,মোঃ ফুয়াদ আল ফিদাহ,বিবলিওফাইল প্রকাশনী,9789849505266,"1st Published,2020",480,বাংলাদেশ,বাংলা
শার্লক হোমস সমগ্র ১,স্যার আর্থার কোনান ডয়েল,"",TK. 520,https://rokomari.com//book/203259/sherlock-holmes-somogro-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/086394f98_203259.jpg,"উইলিয়াম শার্লক স্কট হোমস—ঠিকানা ২২১বি, বেকার স্ট্রিট, লন্ডন। জন্ম ১৮৫৪ সালে। বাবা সিগার হোমস, মা ভায়োলেট শেরিনফোর্ড। হোমসের দাদি ছিলেন ফরাসি শিল্পী ভারনেটেজ গেন। ছাপার অক্ষরে শার্লক হোমসের প্রথম আবির্ভাব ১৮৮৭ সালে। আবির্ভাবে দৃষ্টি কাড়তে না পারলেও পরে ঠিকই তুমুল জনপ্রিয় হয়ে ওঠে, পাল্টে দেয় রহস্য-সাহিত্যের ধারা। হোমস ছয় ফুট তিন ইঞ্চি লম্বা, চৌকো মুখ, সংগীত ও গিটারে আসক্ত। অবসরে ভায়োলিন বাজাতে পছন্দ করে। প্রখর পর্যবেক্ষণ ও বিশ্লেষণশক্তির অধিকারী, ছদ্মবেশ নিতে জুড়ি নেই। জন্ম দিয়েছে অনুমানবিজ্ঞান—অর্থাৎ সায়েন্স অভ ডিডাকশনের। 
অপরাধের তদন্তে বৈজ্ঞানিক পদ্ধতির ছোঁয়া লাগে হোমসেরই কল্যাণে। হাত-পায়ের ছাপ নিতে প্লাস্টার অভ প্যারিসের ব্যবহার, জমাট রক্তের পরীক্ষা, টাইপরাইটিঙের বৈশিষ্ট্য পরীক্ষা, অপরাধীকে অনুসরণে কুকুর ব্যবহার—এসবই প্রথম দেখা যায় হোমসের গল্পে। পরে একসময় বিভিন্ন দেশের পুলিশ বিভাগ এসব পদ্ধতি গ্রহণ করতে বাধ্য হয়েছে। অপরাধী শনাক্তকরণে হোমসের অবদান মাথায় রেখে, ২০০২ সালে, লন্ডনের রয়্যাল সোসাইটি অভ কেমিস্ট্রি শুধু হোমসের ফরেনসিক বিদ্যার ওপর গবেষণা করে ফেলোশিপ নেওয়ার সুযোগ তৈরি করে দিয়েছে। পৃথিবীতে কোনো কল্পিত চরিত্রের ওপর এমন বৈজ্ঞানিক গবেষণার সুযোগ এই প্রথম।
আজ প্রায় দেড়শো বছর পরও হোমসকে নিয়ে তুঙ্গস্পর্শী উন্মাদনা। সেই উন্মাদনার ছোঁয়া বাংলাদেশি পাঠককে দিতে শার্লকের সবগুলো গল্প ও উপন্যাসের অনুবাদ তিন খণ্ডে প্রকাশের উদ্যোগ নিয়েছে বিবলিওফাইল প্রকাশনী। পাঠকের সুবিধার্থে এ অনুবাদে যোগ করা হয়েছে টীকা, এবং বেশ কিছু ইলাস্ট্রেশন।",শার্লক হোমস সমগ্র ১,স্যার আর্থার কোনান ডয়েল, ,মারুফ হোসেন,বিবলিওফাইল প্রকাশনী,9789843483058,"1st Edition,2020",480,বাংলাদেশ,বাংলা
দ্য হিউম্যান কাইমেরা : বজ্রযোগীর প্রত্যাবর্তন ,মুহাম্মদ আলমগীর তৈমুর,"",TK. 320,https://rokomari.com//book/206941/the-human-chimera---vajrayogir-protyabartan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d656a5642_206941.jpg,"একটি পুরোনো কোদাল . . .
একটি প্রাচীন কয়েন . . .
একটি কালো পাথর . . .
কী সম্পর্ক এদের সাথে ঢাকা বিশ্ববিদ্যালয়ের অধ্যাপক খান মুহাম্মদ ফারাবির?
মহাবীর আলেকজান্ডার, মুহাম্মদ বিন কাসেম, ইখতিয়ার উদ্দিন মোহাম্মদ বিন বখতিয়ার খিলজি-ইতিহাস প্রসিদ্ধ বড় বড় নাম। এসব প্রসিদ্ধ বিজেতাদের দেশজয়ের পেছনের কারণ কি শুধুই তাদের শৌর্যবীর্য?
একটি কালো পাথরের পেছনে উঠেপড়ে লেগেছে কেন আমেরিকাফেরত বিদুষী যুবতী লিয়া?
উদ্ভট সব হ্যালুসিনেশন হচ্ছে কেন খান মুহাম্মদ ফারাবির?
কেনই বা তিনি যা দেখছেন, তাই হয়ে উঠছে ভবিতব্য?
এসব প্রশ্নের উত্তর কি লুকিয়ে আছে কোনো প্রাচীন ইতিহাসের পাতায়? উত্তর জানার নেশায় শেষতক না জানটাই না খুইয়ে বসতে হয় ফারাবিকে!",দ্য হিউম্যান কাইমেরা : বজ্রযোগীর প্রত্যাবর্তন,মুহাম্মদ আলমগীর তৈমুর, , ,বিবলিওফাইল প্রকাশনী,9789849505594,"1st Published,2020",238,বাংলাদেশ,বাংলা
র‍্যাগনোরক: নর্স পুরানের গল্প,মোঃ ফুয়াদ আল ফিদাহ,"",TK. 385,https://rokomari.com//book/203260/ryagnorok--norcs-puraner-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/36edf981a_203260.jpg,"যুগে যুগে মানুষকে আকৃষ্টে করেছে তার চাইতে বড়, তার চাইতে বিস্তৃত এক শক্তি। কোনো সমাজে সেই শক্তির নাম জুপিটার, কোনো সমাজে অলিম্পিয়ান, কোনো সমাজে এইসির।
প্রিয় পাঠক, আজ আপনাদের শোনাবো সেই এইসিরদের গল্প। যারা দেবতা হয়েও...ঠিক দেবতা নন। শোনাবো দানো কিংবা জতুনদের গল্প, যারা সৃষ্টির বিপক্ষের শক্তি হয়েও...ঠিক অশুভ নন। শোনাবো ওডিনের কিংবদন্তি...যিনি সর্ব-প্রথম, সর্ব-পিতা ও দেবপ্রধান। শোনাবো থরের নানা অভিযানের কথা...যার নাম শুনলে থর থর করে কেঁপে ওঠে প্রতাপশালী হিমদানোরা। শোনাবো লোকির চালাকির আখ্যান...অতি চালাকের গলায় দড়ি কথাটা সম্ভবত যার ক্ষেত্রে সবচেয়ে বেশি খাটে। আর শোনাবো র‍্যাগনোরকের কথা...এই অন্তিম দিবস যা মহাবিশ্বে জন্ম দেবে নতুন এক চক্রের।
এইসির-জতুন-থ্রাল-রিগ-এলফ-বামন-সিগার্ড-হেল...
প্রিয় পাঠক, এদের গল্প শোনার জন্য প্রস্তুত তো?",র‍্যাগনোরক: নর্স পুরানের গল্প,মোঃ ফুয়াদ আল ফিদাহ, , ,বিবলিওফাইল প্রকাশনী,9789843483003,"1st Edition,2020",350,বাংলাদেশ,বাংলা
চৈনিক পুরাণ,মোঃ সাব্বির হোসেন,"",TK. 200,https://rokomari.com//book/202003/choinik-puran,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b3ea1b3c6_202003.jpg,"কে এই দেবতা পাংগু, যিনি ঘুমিয়ে ঘুমিয়েই সৃষ্টি করেছেন স্বর্গ ও পৃথিবী?
দেবী নুওয়া না চাইলে, ধরণী কি পেত মানুষের দেখা?
কেন আজো বানর-রাজা সন-ওয়েকংকে দেখা যায় চীনের বিভিন্ন পণ্যের মোড়কে?
সমৃদ্ধ চৈনিক লেখন-শৈলীর জন্ম হলো কীভাবে?
চাঁদের দিকে তাকালে কেন দেখতে পাওয়া যায় জেড খরগোশের অবয়ব?
চৈনিক পুরাণ, চীনা-সভ্যতার মতোই, বহু প্রাচীন এবং সমৃদ্ধ। এর সঙ্গে যুগে যুগে যোগ হয়েছে অগণিত কিংবদন্তি, মুখরোচক গল্পে বুঁদ হয়েছে মানুষ।
প্রিয় পাঠক, আসুন, চৈনিক পুরাণের মজাদার আখ্যানে আমরাও করি অবগাহন।",চৈনিক পুরাণ,মোঃ সাব্বির হোসেন, , ,বিবলিওফাইল প্রকাশনী,9789843481955,"1st Published,2020",160,বাংলাদেশ,বাংলা
রাত এগারোটা,মোঃ ফুয়াদ আল ফিদাহ,"",TK. 140,https://rokomari.com//book/202002/rat-egarota,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/07beeef4d_202002.jpg,"লালচে ওই চোখ দুটো কার? কোনো খুনির? কেঁপে উঠলাম বাস্তবতা বুঝতে পেরে। সম্বিত ফিরল অঞ্জলি থেকে পানি সিংকে পড়ার আওয়াজে। চোখ দুটো তো আমারই—ডা. আশিক সরোয়ারের; যার হাতে আজ রাতে অবসান ঘটবে পক্ষাঘাতগ্রস্থ, অর্থব এক মানুষের জীবনের।
পিতৃসম মানুষটিকে কেন খুন করবে আশিক? লোভে পড়ে? নাকে বাধ্য হয়ে?
রোমেল নিখোঁজ, রিয়া মাদকাসক্ত। তাহলে কে সামলাবে আব্দুর রহমানের বিশাল এই সম্পত্তি?
স্বার্থপর আশিক, কিন্তু খুনি তো নয়! অথচ কাজটা যে করতেই হবে...এছাড়া নেই আর কোনো উপায়। এই এক সিদ্ধান্তের ওপর নির্ভর করছে ওর ভবিষ্যৎ—ওর স্বপ্ন, বিশ্বাস...ভালোবাসা!
কী করবে আশিক? কী ঘটবে রাত এগারোটায়?",রাত এগারোটা,মোঃ ফুয়াদ আল ফিদাহ, , ,বিবলিওফাইল প্রকাশনী,9789843481825,"1st Published,2020",128,বাংলাদেশ,বাংলা
