Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
পুতুলনাচের ইতিকথা,মানিক বন্দ্যোপাধ্যায়,TK. 250,TK. 188,https://rokomari.com//book/34365/putul-nacer-etikotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1e6d30a0d_34365.jpg,"""পুতুলনাচের ইতিকথা"" বইয়ের ভূমিকার অংশ থেকে নেয়া:  পুতুলনাচের ইতিকথা সােজাসাপ্টা বাস্তব কাহিনির বর্ণনা। গ্রামীণ সমাজের ঘেরাটোপে আটকে-পড়া অসহায় মানুষই এখানে বিবেচ্য। সমাজের চিত্র আর বাস্তবতা উপস্থাপনের জন্যেই মানিক এখানে সাজিয়েছেন চরিত্রসমূহের প্রাসঙ্গিকতা ও বিস্তার। শশী ডাক্তারকে ঘিরেই আবর্তিত হয় গল্পের কাঠামাে। মূলত মানব-জীবনের এক মহাদলিল এই উপন্যাস। সমাজের সংস্কার, প্রেক্ষিত-প্রাসঙ্গিকতা, দায়িত্ববােধ আর বিভ্রমের বেড়াজালে থমকে থাকা যে জীবন, তারই বিশ্বস্ত রূপায়ণ পুতুলনাচের ইতিকথা। শশী চরিত্রের প্রতীকে প্রকাশ ঘটে সেই মহাসত্যের। মানুষের অর্জিত কীর্তিরাশির নিরর্থকতাও এ গ্রন্থের আরেকটি অনুষঙ্গ।",পুতুলনাচের ইতিকথা,মানিক বন্দ্যোপাধ্যায়, , ,বিভাস,9847034304749,"1st Published,2017",175,বাংলাদেশ,বাংলা
"ভালোবাসা, প্রেম নয় ",সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 200,TK. 150,https://rokomari.com//book/63176/valubasa--prem-noy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a49a002d0_63176.jpg,"","ভালোবাসা,প্রেম নয়",সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,বিভাস,9847034303353,"1st Published,2012",80,বাংলাদেশ,বাংলা
ঠাকুরমা’র ঝুলি,দক্ষিণারঞ্জন মিত্র মজুমদার,TK. 250,TK. 188,https://rokomari.com//book/6007/thakurmar-jhuli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/40d78d832874_6007.jpg,"""ঠাকুরমা’র ঝুলি"" বইয়ের ভূমিকার অংশ থেকে নেয়া:  
দক্ষিণারঞ্জন মিত্ৰমজুমদার (১৮৭৭-১৯৫৭) রূপকথার লেখক শিশুসাহিত্যিক। ঢাকা জেলার সাভারের নিকটবর্তী উলাইল গ্রামে ১২৮৪ বঙ্গাব্দের (১৮৭৭) ২ বৈশাখ তাঁর জন্ম। নয় বছর বয়সে মাতৃহারা হয়ে তিনি ময়মনসিংহে পিসিমা রাজলক্ষ্মী দেবী কর্তৃক প্রতিপালিত হন। স্কুলে অধ্যয়ান্তে ২১ বছর বয়সে তিনি পিতার সঙ্গে মুর্শিদাবাদ যান। সেখানে থাকা অবস্থায়ই সাহিত্য পরিষৎ পত্রিকা, প্রদীপ প্রভৃতি পত্রিকায় তাঁর লেখা প্রকাশিত হতে থাকে। পরে এফএ পর্যন্ত অধ্যয়ন করে ময়মনসিংহে ফিরে তিনি পিসিমার জমিদারি দেখাশুনার দায়িত্ব গ্রহণ করেন।
ময়মনসিংহে অবস্থানকালে লােকসাহিত্যের প্রতি দক্ষিণারঞ্জনের অনুরাগ জন্মে। তিনি নানা ধরনের রূপকথা, ব্রতকথা, গীতিকথা, রসকথা ইত্যাদি সংগ্রহ ও সম্পাদনা করে গ্রন্থাকারে প্রকাশ করেন। এ কাজে দীনেশচন্দ্র সেন তাঁকে অনুপ্রেরণা দেন।",ঠাকুরমা’র ঝুলি,দক্ষিণারঞ্জন মিত্র মজুমদার, , ,বিভাস,9789849287216,"1st Published,2017",228,বাংলাদেশ,বাংলা
বরণীয় মানুষ স্মরণীয় বিচার ,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 250,TK. 188,https://rokomari.com//book/10845/barania-manush-smaraniya-bichar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_10845.GIF,"ফ্ল্যাপে লিখা কথা
 যে কজন আসামীর জীবন ও বিচারকাহিনী এখানে লেখা হয়েছে, তাঁরা সকলেই মানব সমাজের ইতিহাসে স্মরণীয় হয়ে আছেন। শিল্প-সাহিত্য দর্শন-বিজ্ঞানের ক্ষেত্রে যাঁরা নতুন চিন্তার প্রবর্তক তাদের অনেককেই সমকালের বিচারে লাঞ্ছিত হতে হয়। যাঁদের চিন্তা বা কীর্তির জন্য মানব সভ্যতা অনেকখানি এগিয়ে যায় জীবিতকালে তাদেরই কারুর ভাগ্যে জোটে তিরস্কার ,কারাবাস এমনকি মৃত্যুদণ্ড।

এই সব অসমসাহসী ও মহান মানুষের জীবন বারবার প্রমাণ করে দিয়ে যায় মানুষের আবিষ্কারের কোনো সীমা নেই। হৃদয় ও বর্হিজগতে মানুষ চিরকালের অভিযাত্রী । যে কোনো প্রকারে মানুষের চিন্তার স্বাধীনতায় বাধা দিয়ে সমগ্রভাবে মনুষ্য সমাজেরই ক্ষতি হতে পারে। অতীতের এই সব কাহিনী হয়তো আমাদের ভবিষ্যতের পথ চেনাতে সাহায্য করতে পারে।
-সুনীল গঙ্গোপাধ্যায়
সূচি*
সক্রেটিস*
যীশুখ্রীস্ট*
নির্বাসনে দান্তে*
জোন অব আর্কের বিচার*
ক্রিস্টোফার কলাম্বাস*
দুঃসাহসী ব্রুনো*
গ্যালিলিও*
ওয়াল্টার র‌্যালের বিচার ও মৃত্যু*
মৃত্যু থেকে ফিরে এসে অমর ডস্টয়েভস্কি*
বায়রন*
পল গগ্যাঁ*
অস্কার ওয়াইল্ডের অকালমৃত্যু",বরণীয় মানুষ স্মরণীয় বিচার,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,বিভাস,9847034302745,"1st Edition,2011",127,বাংলাদেশ,বাংলা
নির্বাচিত ১০০ কবিতা,নির্মলেন্দু গুণ,TK. 300,TK. 225,https://rokomari.com//book/31485/nirbacito-100-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_31485.gif,"",নির্বাচিত ১০০ কবিতা,নির্মলেন্দু গুণ, , ,বিভাস,9847034300345,"2nd Revised,2015", ,বাংলাদেশ,বাংলা
আম আঁটির ভেঁপু,বিভূতিভূষণ বন্দ্যোপাধ্যায়,TK. 160,TK. 120,https://rokomari.com//book/38967/am-atir-vapu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_38967.GIF,"",আম আঁটির ভেঁপু,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,বিভাস,9847034301489,"1st Published,2012",80,বাংলাদেশ,বাংলা
প্রাগৈতিহাসিক(৯টি গল্প) ,মানিক বন্দ্যোপাধ্যায়,TK. 150,TK. 113,https://rokomari.com//book/143611/pragoitihashik,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6cb028495834_143611.jpg,"মানিক বন্দ্যোপাধ্যায়ের বাছাই করা ৯ টি গল্প। প্রথম গল্পের নামে বইয়ের নামকরণ হয়েছে। 'প্রাগৈতিহাসিক' গল্পটি শুধু মানিকের নয় সমগ্র বাংলা সাহিত্যের অন্যতম শ্রেষ্ঠ গল্প। এছাড়া বাকি ৮ টি গল্পও সাহিত্যগুণ সমৃদ্ধ। নিম্নবৃত্ত শ্রেণির দারিদ্র, বেঁচে থাকার সংগ্রাম, সমাজ বাস্তবতার অনন্য দলিল মানিকের গল্পগুলো।",প্রাগৈতিহাসিক(৯টি গল্প),মানিক বন্দ্যোপাধ্যায়, ,শ্রী শ্রীকুমার বন্দ্যোপাধ্যায়,বিভাস,9847034307214,"1st Published,2017",112,বাংলাদেশ,বাংলা
নির্বাচিত ২০০ কবিতা,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 250,TK. 188,https://rokomari.com//book/39065/nirbaceto-200-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_39065.GIF,"",নির্বাচিত ২০০ কবিতা,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,বিভাস, , , ,বাংলাদেশ,বাংলা
যুবক যুবতীরা ,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 200,TK. 150,https://rokomari.com//book/39164/jubak-juboatira,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_39164.GIF,"ফ্ল্যাপে লিখা কথা
এই উপন্যাসটি আমি লিখতে শুরু করি ১৯৫৯ সালে, যখন গদ্য রচনার অভ্যেস আমার প্রায় ছিলই না। লিখতে লিখতে ভয় পেতাম, দ্বিধা ও সংশয়ে কলমের গতি বন্ধ হয়ে আসতো। সেইজন্যে একটানা লেখা হয়নি। মাঝখানে কিছুদিন দেশান্তরী হওয়ার জন্যও লেখায় ছেদ পড়ে। পরে যেখানে শেষ করেছিলাম, পত্রিকায় প্রকাশের কালে তাও অনেক বদলে যায়। প্রথম সংস্করণ ছাপার সময়ও অনেক কাটাকুটি করেছি। অর্থ্যাৎ প্রায় দশ বছরের ব্যাপ্তিতে এই  উপন্যাসেটি লিখিত ও পরিমার্জিত হয়েছে। ভাষার সমতা সর্বত্র রক্ষিত হয়েছে কিনা , আমি জানি না।
গ্রন্থকারে প্রকাশিত আমার প্রথম উপন্যাসের নাম ‘আত্নপ্রকাশ’ । কিন্তু উপন্যাস রচনায় এইটিই আমার প্রথম প্রচেষ্টা। এই উপন্যাসে বর্ণিত জীবন কাল্পনিক নয়, কিন্তু চরিত্রগুলি সবকটিই গনগড়া। কয়েকজন সরল যুবক-যুবতীর নিষ্পাপ জীবন ও জীবনের অর্থ খুঁজে বার করার চেষ্টার কথা ফোটাতে চেয়েছি। এই বইয়ের কয়েকটি চরিত্র একই নামে আমার ‘আ্ত্নপ্রকাশ’ উপন্যাসেও উপস্থিত হয়েছে।
-সুনীল গঙ্গোপাধ্যায়",যুবক যুবতীরা,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,বিভাস,9847034302691,1st Edition,144,বাংলাদেশ,বাংলা
মাইন ক্যাম্ফ,আডলফ হিটলার,TK. 300,TK. 225,https://rokomari.com//book/98153/main-kamp,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ea76c3dfb_98153.jpg,"",মাইন ক্যাম্ফ,আডলফ হিটলার, , ,বিভাস,9847034304763,"1st Edition,2015",240,বাংলাদেশ,বাংলা
