Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
তোমাদের জন্যে বঙ্গবন্ধু এবং বাংলাদেশের ইতিকথা,ফারজানা নাজ শম্পা,TK. 300,TK. 210,https://rokomari.com//book/191588/tomader-jonno-bangobandhu-ebong-bangladesher-itikotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9f011e6f8_191588.jpg,"",তোমাদের জন্যে বঙ্গবন্ধু এবং বাংলাদেশের ইতিকথা, , ,"অনিরুদ্ধ আলম,ফারজানা নাজ শম্পা",আরো প্রকাশন,9789844490048,"1st Published,2019", ,বাংলাদেশ,বাংলা
সায়েন্স ফিকশন : পিঁপড়ে,অনিরুদ্ধ আলম,TK. 100,TK. 75,https://rokomari.com//book/11239/science-fiction---phipre,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/84f8127ea4c4_11239.gif,"",সায়েন্স ফিকশন : পিঁপড়ে,অনিরুদ্ধ আলম, , ,আরো প্রকাশন,9847280185,"1st Edition,2016",70,বাংলাদেশ,বাংলা
প্রথম ধাক্কায় চিৎপটাং,শিবরাম চক্রবর্তী,TK. 180,TK. 135,https://rokomari.com//book/11345/prothom-dhakkay-chitpatang,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3aed8d82d8f4_11345.gif,"",প্রথম ধাক্কায় চিৎপটাং,শিবরাম চক্রবর্তী, , ,আরো প্রকাশন,9847280118,"2nd Print,2016",87,বাংলাদেশ,বাংলা
ছোটদের গল্পসমগ্র,ঈশ্বরচন্দ্র বিদ্যাসাগর,TK. 180,TK. 135,https://rokomari.com//book/78483/chotoder-golposamagro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_78483.GIF,"",ছোটদের গল্পসমগ্র,ঈশ্বরচন্দ্র বিদ্যাসাগর, , ,আরো প্রকাশন,98472800223,"1st,2015",96,বাংলাদেশ,বাংলা
আমাদের ভাষা আন্দালনের কথা,হাসান খুরশীদ রুমী,TK. 100,TK. 75,https://rokomari.com//book/11283/amader-basha-anodholaner-katha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f964386fc4d4_11283.gif,"",আমাদের ভাষা আন্দালনের কথা,হাসান খুরশীদ রুমী, , ,আরো প্রকাশন,984728046X,"2nd Print,2016",20,বাংলাদেশ,বাংলা
ভীনদেশী রাজপুত্র-রাজকন্যে,আলমগীর মল্লিক,TK. 100,TK. 75,https://rokomari.com//book/11330/bhindeshi-rajputrya-rajkonnya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_11330.GIF,"",ভীনদেশী রাজপুত্র-রাজকন্যে,আলমগীর মল্লিক, , ,আরো প্রকাশন, , , ,বাংলাদেশ,বাংলা
ফেলে আসা দিনগুলো,মুহাম্মদ হুমায়ূন কবির,TK. 250,TK. 188,https://rokomari.com//book/197096/fele-asa-dingolo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f20d18f52_197096.jpg,"আমার জীবনের প্রথম লেখা- কিশাের উপন্যাস ‘ফেলে আসা দিনগুলাে। ছেলেবেলা ও গ্রাজুয়েশন পর্যন্ত ফরিদপুর শহরেই কাটিয়েছি। ফরিদপুর শহরের সেই ফেলে আসা দিনগুলােকে আমি এই বইতে উপস্থাপন করতে চেষ্টা করেছি। আমাদের গ্রামের বাড়ি বিক্রমপুরের পদ্মা নদীর পারে। আমার দাদাদাদী গ্রামের বাড়িতেই থাকতেন। মাঝে মাঝে বেড়াতে গিয়েছি। বেশ কিছুদিন থাকতেও হয়েছে। সেই সময় খুব কাছে থেকে দেখা বিষয়গুলাে আমার এই লেখাতে বর্ণনা করতে চেয়েছি। যে সমস্ত কৃষ্টি ও লােকজ সংস্কৃতি হারিয়ে যাচ্ছে, আমি সেগুলােকে আজ যারা শিশু ও কিশাের আছেন তাদেরকে জানাতে চাই। বর্তমানে মানুষের জীবন থেকে প্রকৃত ভালােবাসা, পারস্পরিক সহমর্মিতা, আন্তরিকতা ও মানবিকতা হারিয়ে গেছে। মানুষের মধ্যে এখন শুধুই অযাচিত হিংসা, দাম্ভিকতা আর অহংবােধ জেঁকে বসেছে। আমার এই সামান্য বইটি পড়ে যদি আজকের শিশু-কিশােররা দানবীয় বলয় থেকে বেড়িয়ে আসতে পারে, তাহলেই আমার আন্তরিক এই চেষ্টা হয়তাে ভবিষ্যতের মানুষের ভুবনে সামান্যও আলাে জ্বালাতে সক্ষম হবে।",ফেলে আসা দিনগুলো,মুহাম্মদ হুমায়ূন কবির, , ,আরো প্রকাশন,9789844490079,"1st Published,2020",104,বাংলাদেশ,বাংলা
ছোটদের নির্বাচিত উপেন্দ্রকিশোর রায়চৌধুরীর গল্পের ঝুড়ি,উপেন্দ্রকিশোর রায়চৌধুরী,TK. 400,TK. 300,https://rokomari.com//book/97144/chotoder-nirbachito-upendrokishor-roychowdhurir-golper-juri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b56da3ab2_97144.jpg,"",ছোটদের নির্বাচিত উপেন্দ্রকিশোর রায়চৌধুরীর গল্পের ঝুড়ি,উপেন্দ্রকিশোর রায়চৌধুরী, ,আলমগীর মল্লিক,আরো প্রকাশন,984728026X,"2nd Printed,2020",175,বাংলাদেশ,বাংলা
বীরশ্রেষ্ঠদের কথা ,বেলাল মোহাম্মদ,TK. 100,TK. 75,https://rokomari.com//book/11272/birshesthoder-katha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3b7daf8db4d4_11272.gif,"",বীরশ্রেষ্ঠদের কথা,বেলাল মোহাম্মদ, , ,আরো প্রকাশন,9847280444,"2nd Print,2016",24,বাংলাদেশ,বাংলা
ছেলেধরা,শরৎচন্দ্র চট্টোপাধ্যায়,TK. 300,TK. 225,https://rokomari.com//book/158396/cheledhora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b755fd1ab_158396.jpg,"",ছেলেধরা,শরৎচন্দ্র চট্টোপাধ্যায়, , ,আরো প্রকাশন,9847280282,"1st Published,2018",159,বাংলাদেশ,বাংলা
