Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মায়াপৃথিবী ও স্খলিত বেদনারা,অমর দে,TK. 90,"",https://rokomari.com//book/171741/mayaprithibi-o-skholito-bedonara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মায়াপৃথিবী ও স্খলিত বেদনারা,অমর দে, , ,গল্পসরণি (ভারত), ,2011, ,ভারত,বাংলা
ওলন ও অন্যান্য গল্প,অমর দে,TK. 90,"",https://rokomari.com//book/171743/olon-o-onyanyo-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ওলন ও অন্যান্য গল্প,অমর দে, , ,গল্পসরণি (ভারত), ,2011, ,ভারত,বাংলা
অগ্রন্থিত গল্প,ননী ভৌমিক,TK. 270,"",https://rokomari.com//book/171745/ogronthito-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অগ্রন্থিত গল্প,ননী ভৌমিক, , ,গল্পসরণি (ভারত), ,2013, ,ভারত,বাংলা
মধ্যবলয়ে শৈবক্ষেত্রে,রঘুনাথ মণ্ডল,TK. 180,"",https://rokomari.com//book/171747/modhyoboloye-shoibokhetre,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মধ্যবলয়ে শৈবক্ষেত্রে,রঘুনাথ মণ্ডল, , ,গল্পসরণি (ভারত), ,2014, ,ভারত,বাংলা
ঝিঙাফুল কাঁকুড়ফুল,নলিনী বেরা ,TK. 270,"",https://rokomari.com//book/171750/jhingaful-kakurful,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঝিঙাফুল কাঁকুড়ফুল,নলিনী বেরা, , ,গল্পসরণি (ভারত), ,2014, ,ভারত,বাংলা
স্তিমিত রণতূর্য,সৈকত রক্ষিত,TK. 270,"",https://rokomari.com//book/171751/stimito-ronoturzo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্তিমিত রণতূর্য,সৈকত রক্ষিত, , ,গল্পসরণি (ভারত), ,2014, ,ভারত,বাংলা
চছাই ও অন্যান্য গল্প,অমর দে,TK. 180,"",https://rokomari.com//book/171754/chochai-o-onyanyo-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চছাই ও অন্যান্য গল্প,অমর দে, , ,গল্পসরণি (ভারত), ,2015, ,ভারত,বাংলা
সিউড়ির ইতিহাস,পার্থপ্রতিম দে,TK. 180,"",https://rokomari.com//book/171757/siurir-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সিউড়ির ইতিহাস,পার্থপ্রতিম দে, , ,গল্পসরণি (ভারত), ,2015, ,ভারত,বাংলা
স্বর্গের ফুলফল,পুষ্পিত মুখোপাধ্যায়,TK. 180,"",https://rokomari.com//book/171759/sworger-fulfol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বর্গের ফুলফল,পুষ্পিত মুখোপাধ্যায়, , ,গল্পসরণি (ভারত), ,2015, ,ভারত,বাংলা
শিরোমানহীন,সুদত হসন মন্টো,TK. 180,"",https://rokomari.com//book/171746/shironamheen,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শিরোমানহীন,সুদত হসন মন্টো, , ,গল্পসরণি (ভারত), ,2013, ,ভারত,বাংলা
