Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
পরিচয়ে আমি বাঙালি,মাসুদ করিম ,TK. 30,TK. 27,https://rokomari.com//book/205254/porichoye-ami-bangali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b7542ad6b_205254.jpg,"",পরিচয়ে আমি বাঙালি,"মাসুদ করিম,নিগার সুলতানা,রাশেদ রানা,শেখ সাদী মারজান,দিলরুবা নীলা,নুসরাত রীপা,নুর উন নবী জনি", , ,চলন্তিকা,9789849386728,"1st Published,2019",16,বাংলাদেশ,বাংলা
প্রতিবিম্ব,শারমিন সুলতানা চৌধুরী,TK. 300,TK. 210,https://rokomari.com//book/207901/protibimbo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/169a12331_207901.jpg,"",প্রতিবিম্ব,শারমিন সুলতানা চৌধুরী, , ,চলন্তিকা,9789849480587,"1st Published,2021",136,বাংলাদেশ,বাংলা
গহীনে আঁচ,ফৌজিয়া খান তামান্না,TK. 360,TK. 252,https://rokomari.com//book/206421/gonine-ach,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ac208d629_206421.jpg,"""গহীনে আঁচ"" বইয়ের ফ্ল্যাপে লিখা
‘গহীনে আঁচ’র মাধ্যমে ফৌজিয়া খান তামান্না আত্মপ্রকাশ করলেন নিভৃত সাহিত্য সাধনার ভুবনে। সত্য, সুন্দর ও শাশ্বত সৃষ্টির বেদনানন্দে নিজেকে উৎসর্গ করার মহিমা ছড়াতে লেখিকা নিজের প্রথম সামাজিক উপন্যাস ‘গহীনে আঁচ’ লেখার ক্ষেত্রেও চিরাচরিত ধারাকে ভিন্নতা দেয়ার চেষ্টা করেছেন, তার লেখনীকে দিয়েছেন নিজস্বতা।
উপন্যাসের বিস্তীর্ণ মলাটের পরতে পরতে অন্তর্নিহিত রয়েছে প্রেম, মানবতা, দ্বন্দ্ব-দ্রোহ, ঘাত-প্রতিঘাত, ঘৃণা ও নিভৃত প্রেমের আকুতি। সংগ্রামী প্রজ্বলিত জীবনের দহনের শব্দ বুনে বুনে তৈরির চেষ্টা করেছেন মানব হৃদয়ের নৈসর্গিক উপাখ্যান। 
‘গহীনে আঁচ’র দীপ্তিতে দীপ্তময়ী ঋষিতা থ্রেট ক্যান্সারে আক্রান্ত একজন মুনা । মুনার সংগ্রামী জীবনে শাশ্বত ভালােবাসার অসাধারণ প্রেম হয়ে আবির্ভূত হন রিমন। মুনা এবং রিমনের ভালােবাসা কেবল কাছে পাওয়া নয়, ত্যাগের এক আলােক উজ্জ্বল বিশুদ্ধ অগ্নিশিখা! যা আজীবন বেঁচে থাকে, নিঃশেষ হয়ে যায় না এবং প্রকৃত মানব হতে শেখায়! 
তপঃক্লেশী মুনার জীবন প্রারম্ভে চুপিসারে মায়ামৃগ হয়ে আসে রিমন। মুনার স্বােপার্জিত আদর-স্নেহ, ভালােবাসা স্পর্শ করে রিমনের কোমল মন । কিন্তু ভাগ্যের নির্মম পরিহাসে বদলে যায় প্রবাহমান জীবনের গতিপথ। জীবনের এ টানাপােড়েনে মুনা আক্রান্ত হােন থ্রোট ক্যান্সারে, আর এ সূত্র ধরেই দীর্ঘ আঠারাে বছর পরে আবার মুখােমুখি হন মুনা ও রিমন। কিন্তু সে মহার্ঘ্য স্পর্শের মায়ামুক্ত মুনা ফিরে যায় স্বেচ্ছানির্বাসনে।",গহীনে আঁচ,ফৌজিয়া খান তামান্না, , ,চলন্তিকা,9789849480600,"1st Published,2021",221,বাংলাদেশ,বাংলা
রহস্যলীনা,সালসাবিলা নকি,TK. 250,TK. 175,https://rokomari.com//book/206428/rohosholina,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cf295776a_206428.jpg,"",রহস্যলীনা,"সালসাবিলা নকি,সালমা সিদ্দিকা,শারমিন সুলতানা চৌধুরী,তাবাসসুম নাজ,সুস্মিতা জাফর,ফৌজিয়া খান তামান্না,রুজহানা সিফাত,মৌলি আখন্দ", , ,চলন্তিকা,9789849480594,"1st Published,2021",135,বাংলাদেশ,বাংলা
শুভ্রতার নাকফুল,মুনিরুল ইসলাম চঞ্চল,TK. 200,TK. 140,https://rokomari.com//book/208631/shuvrotar-nakphul,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0c75f7b55_208631.jpg,"",শুভ্রতার নাকফুল,মুনিরুল ইসলাম চঞ্চল, , ,চলন্তিকা, , , ,বাংলাদেশ,বাংলা
 তৃষ্ণা জেগে রয়,রাফিয়া খন্দকার,TK. 150,TK. 132,https://rokomari.com//book/211057/trishna-jege-ray,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5cf839d41_211057.jpg,"",তৃষ্ণা জেগে রয়,রাফিয়া খন্দকার, , ,চলন্তিকা, ,"1st Published,2021", ,বাংলাদেশ,বাংলা
অভিমানী মেঘ এবং জোনাকি মন,দিলরুবা নীলা,TK. 220,TK. 187,https://rokomari.com//book/206430/ovimani-megh-and-jonaki-mon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05559a158_206430.jpg,"",অভিমানী মেঘ এবং জোনাকি মন,"দিলরুবা নীলা,লুসি চৌধুরী", , ,চলন্তিকা, ,"1st Published,2021", ,বাংলাদেশ,বাংলা
দিগন্তগামী ফিনিক্স,নাহিদ হাসান নিবিড়,TK. 350,TK. 298,https://rokomari.com//book/196733/digontogamee-finix,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/06887b450_196733.jpg,"মৃত্যু এক চূড়ান্ত সত্য—অনিশ্চিত অন্ধকারের নাম। মৃত্যুর মতাে এই অনিবার্যতাকে কেউ এড়াতে পারবেনা জেনেও মৃত্যু প্রসঙ্গে আমরা অপ্রস্তুত। জীবনের এই পথে হাঁটতে গিয়ে আমরা মত্ত হই ভােগ-বিলাসিতার সমীকরণে। আমরা কেউই মানতে পারিনা চিরন্তন এই প্রস্থান। আমাদের ভাবনায় মৃত্যু। মানেই হারিয়ে যাওয়া আর আমরা যুদ্ধক্ষেত্রে পরাজিত সৈনিক। তবুও কেউ কেউ এই অনিবার্যতার মুখােমুখি দাঁড়িয়ে চোখে চোখ রেখে হেসে উঠে বিজয়ের হাসি—স্বয়ং মৃত্যু নতজানু হয়ে কুর্নিশ করে, পরিয়ে দেয় বিজয় তিলক। নাহিদ হাসান নিবিড় একজন সরল অংকের নির্মাতা, যার নির্মাণে একজন যােদ্ধা জীবন মৈথুনে তুলে এনেছে বিজেতার সিলমােহর। “মৃত্যু মানেই ফুরিয়ে যাওয়া নয় বরং আরাে উজ্জ্বল ভাবে বেঁচে থাকার সম্ভাবনা”—এমন একটি সবুজ মশাল হাতে নিয়ে পুনরুত্থিত হয় বিজেতার ফিনিক্স জীবন, দিগন্তের প্রচ্ছদে আলাের পাখনা মেলে অংকন করে একটি পংক্তিমালা, “নিঃশেষে বিভাজ্য কোন আলাে নই আমি, না কোন ঝঞায় তাড়িত প্লাবন। আমি পৃথিবীর বক্ষ হতে ফুঁড়ে উঠা এক আশ্চর্য সঙ্গীত—তােমাদের এই আলােয়, এই অন্ধকারে...”",দিগন্তগামী ফিনিক্স,নাহিদ হাসান নিবিড়, , ,চলন্তিকা,9789849386742,"1st Published,2020",152,বাংলাদেশ,বাংলা
জল জোছনার প্লাবন,রওশন কেয়া ,TK. 180,TK. 158,https://rokomari.com//book/208735/jal-jochnar-plabon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c5f07629e_208735.jpg,"",জল জোছনার প্লাবন,রওশন কেয়া, , ,চলন্তিকা, ,"1st Published,2021", ,বাংলাদেশ,বাংলা
ফেরারি ফাগুন,মনোয়ারা স্মৃতি,TK. 175,TK. 123,https://rokomari.com//book/209241/ferari-fagun,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ec78bf75b_209241.jpg,"",ফেরারি ফাগুন,মনোয়ারা স্মৃতি, , ,চলন্তিকা, ,"1st Published,2021", ,বাংলাদেশ,বাংলা
