Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শেষের কবিতা (নাট্যরূপ),প্রশান্ত হালদার,TK. 200,TK. 176,https://rokomari.com//book/80973/sheser-kobita--nattorup-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শেষের কবিতা (নাট্যরূপ),প্রশান্ত হালদার, , ,চারবাক,0, , ,বাংলাদেশ,বাংলা
মায়াহরিণ,রিসি দলাই,TK. 50,TK. 45,https://rokomari.com//book/80974/mayahorin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_80974.GIF,"",মায়াহরিণ,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
বুদ্ধিজীবীর দায়ভার,রিসি দলাই,TK. 400,TK. 340,https://rokomari.com//book/80975/budhijibeer-dayvar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বুদ্ধিজীবীর দায়ভার,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
পক্ষ-প্রতিপক্ষ অথবা শত্রু-মিত্র,রিসি দলাই,TK. 150,TK. 132,https://rokomari.com//book/80976/pokkho-protipokkho-othoba-shotru-mitro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_80976.GIF,"",পক্ষ-প্রতিপক্ষ অথবা শত্রু-মিত্র,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
নির্বাচিত চারবাক,রিসি দলাই,TK. 550,TK. 468,https://rokomari.com//book/80977/nirbachito-charbak,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_80977.GIF,"",নির্বাচিত চারবাক,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
সূচ রাজপুত্রের দুঃখ,নাহিদ আহসান,TK. 40,TK. 36,https://rokomari.com//book/80978/such-rajputrer-dukho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সূচ রাজপুত্রের দুঃখ,নাহিদ আহসান, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
অস্তিত্বে কুহেলিকা কিংবা টুকরো টুকরো প্রাণের কথকতা,জুয়েইরিয়াহ মউ,TK. 120,TK. 106,https://rokomari.com//book/80979/ostitthe-kuhelika-kingba-tukro-tukro-praner-kothokotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অস্তিত্বে কুহেলিকা কিংবা টুকরো টুকরো প্রাণের কথকতা,জুয়েইরিয়াহ মউ, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
নিরবপুর,রিজোয়ান মাহমুদ,TK. 100,TK. 90,https://rokomari.com//book/80980/nirobpur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নিরবপুর,রিজোয়ান মাহমুদ, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
কবি নির্বাসন অথবা প্লেটোর আদর্শ রাষ্ট্র,রিসি দলাই,TK. 250,TK. 213,https://rokomari.com//book/80982/kobi-nirbason-athoba-pletur-adorsho-rashtro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_80982.GIF,"",কবি নির্বাসন অথবা প্লেটোর আদর্শ রাষ্ট্র,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
ভ্রমণ হিমালয়ান রাজ্যসমূহে,জ্যোতি বিকাশ বড়ুয়া,TK. 180,TK. 158,https://rokomari.com//book/80983/vromon-himaloyan-rajjosomuhe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_80983.GIF,"",ভ্রমণ হিমালয়ান রাজ্যসমূহে,জ্যোতি বিকাশ বড়ুয়া, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
চারবাক -১৩তম সংখ্যা ,রিসি দলাই,TK. 80,"",https://rokomari.com//book/80984/charbak--13th-songkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চারবাক -১৩তম সংখ্যা,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
সরলরেখা -১ম সংখ্যা ,রিসি দলাই,TK. 100,"",https://rokomari.com//book/80985/sorolrakha-1st-songkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সরলরেখা -১ম সংখ্যা,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
সরলরেখা -২য় সংখ্যা ,রিসি দলাই,TK. 100,"",https://rokomari.com//book/80986/sorolrakha-2nd-songkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সরলরেখা -২য় সংখ্যা,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
সরলরেখা -৩য় সংখ্যা ,রিসি দলাই,TK. 100,"",https://rokomari.com//book/80987/sorolrakha-3rd-songkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সরলরেখা -৩য় সংখ্যা,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
নিরাশ্রয় নিদ্রায় দূর ক্রেংকার,সায়েমা খাতুন,TK. 40,TK. 36,https://rokomari.com//book/80988/nirashrom-nidray-dur-crengkar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নিরাশ্রয় নিদ্রায় দূর ক্রেংকার,সায়েমা খাতুন, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
'গীতাঞ্জলি’-সমালোচনা (প্রতিবাদ)	,"শ্রী উপেন্দ্র কুমার কর বি,এল",TK. 200,TK. 176,https://rokomari.com//book/80989/gitanjoli-somalochona--protibad-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_80989.GIF,"",'গীতাঞ্জলি’-সমালোচনা (প্রতিবাদ),"শ্রী উপেন্দ্র কুমার কর বি,এল", , ,চারবাক, , , ,বাংলাদেশ,বাংলা
হাওরের কথকতা,সজল কান্তি সরকার,TK. 250,TK. 213,https://rokomari.com//book/80990/haworer-kothokotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_80990.GIF,"",হাওরের কথকতা,সজল কান্তি সরকার, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
ভাষা সাম্প্রদায়িকতা অথবা সাম্রাজ্যবাদি খপ্পর,রিসি দলাই,TK. 150,TK. 132,https://rokomari.com//book/63272/vasha-samprodayekota-athoba-samrajobadi-khoppor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_63272.GIF,"",ভাষা সাম্প্রদায়িকতা অথবা সাম্রাজ্যবাদি খপ্পর,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
 স্বপ্নে আমি বাস্তবে তুমি,মীর আরশেদুল করিম সোহেল,TK. 180,TK. 158,https://rokomari.com//book/13104/shopne-ami-bastobe-tumi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e65e2beb6ec4_13104.png,"",স্বপ্নে আমি বাস্তবে তুমি,মীর আরশেদুল করিম সোহেল, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
নাচঘর,রিসি দলাই,TK. 100,TK. 90,https://rokomari.com//book/13434/nachghor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_13434.GIF,"",নাচঘর,রিসি দলাই, , ,চারবাক, , , ,বাংলাদেশ,বাংলা
এবং মুখোশ,রিসি দলাই,TK. 150,TK. 132,https://rokomari.com//book/111883/ebong-mokush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f3c1a7634fc4_111883.gif,"",এবং মুখোশ,রিসি দলাই, , ,চারবাক,9843000029555,"1st Published,2016",48,বাংলাদেশ,বাংলা
